"","c1_HuAgeGBsplitRnaseq_156....NSCbyNPC__"
"1","ADIPOR1"
"2","AHCTF1"
"3","ANP32E"
"4","C1orf35"
"5","C1orf74"
"6","CNIH4"
"7","COQ10B"
"8","EDEM3"
"9","EXOC8"
"10","FAM20B"
"11","FH"
"12","GNPAT"
"13","HEATR1"
"14","INTS7"
"15","IPO9"
"16","IRF2BP2"
"17","LBR"
"18","LIN9"
"19","MOB1A"
"20","MTR"
"21","MVP"
"22","NEK7"
"23","NSL1"
"24","NTPCR"
"25","NUCKS1"
"26","PARP1"
"27","RAB3GAP2"
"28","RASAL2"
"29","RNASEL"
"30","RNPEP"
"31","SFT2D2"
"32","SH3BP4"
"33","STX2"
"34","TAPBP"
"35","TARBP1"
"36","TGFBR1"
"37","TICAM1"
"38","TOR3A"
"39","TPR"
"40","TTC13"
"41","UCHL5"
"42","UHMK1"
"43","WDR26"
"44","ZNF496"
