"","c1_HuAgeGBsplitRnaseq_57....PSVZbyQSVZ__"
"1","ABCE1"
"2","ADH5"
"3","AFF1"
"4","AGPS"
"5","AIMP1"
"6","AKAP10"
"7","AKT1"
"8","ALMS1"
"9","ATM"
"10","ATPAF2"
"11","BBS12"
"12","BBX"
"13","BMPR2"
"14","BRF1"
"15","C14orf132"
"16","C4orf3"
"17","C4orf46"
"18","CASP3"
"19","CCNG2"
"20","CCNI"
"21","CDCA4"
"22","CENPC"
"23","CENPU"
"24","CEP350"
"25","CEP44"
"26","CERS6"
"27","CINP"
"28","CLHC1"
"29","CNOT6L"
"30","CREB1"
"31","CSMD2"
"32","DCK"
"33","DCLK2"
"34","DPY30"
"35","DST"
"36","EIF4E"
"37","ELAC2"
"38","ELF2"
"39","ETAA1"
"40","EVC"
"41","EVC2"
"42","EVL"
"43","EXOSC9"
"44","EYA1"
"45","FRG1"
"46","GALC"
"47","GALNT7"
"48","GAR1"
"49","GID4"
"50","H2AFZ"
"51","HADH"
"52","HELQ"
"53","HNRNPD"
"54","HNRNPDL"
"55","HNRNPH3"
"56","HUWE1"
"57","HYPK"
"58","ING2"
"59","IRF2"
"60","IVNS1ABP"
"61","JADE1"
"62","KIAA1109"
"63","KMT2A"
"64","LARP7"
"65","LIN54"
"66","LRP6"
"67","LRRC8D"
"68","LSM6"
"69","MAP2K4"
"70","MAPK7"
"71","MARF1"
"72","MED8"
"73","METAP1"
"74","METTL14"
"75","MOB1B"
"76","MOK"
"77","MRPL1"
"78","MRPS18C"
"79","MTA1"
"80","MYBL1"
"81","MYEF2"
"82","MYO5A"
"83","MYO9A"
"84","NATD1"
"85","NEK1"
"86","NIPBL"
"87","NUP155"
"88","NUP54"
"89","NXPH1"
"90","OSTC"
"91","PARS2"
"92","PGRMC2"
"93","PHIP"
"94","POU3F2"
"95","PPM1B"
"96","PPP1R12A"
"97","PRPSAP2"
"98","PRRC2C"
"99","RAB23"
"100","RAB39A"
"101","RANBP2"
"102","RAPH1"
"103","RBM45"
"104","RCHY1"
"105","RCOR1"
"106","RNF150"
"107","RUFY3"
"108","SAP30"
"109","SDAD1"
"110","SEC24B"
"111","SH3RF1"
"112","SIVA1"
"113","SMAD1"
"114","SMARCA5"
"115","SMC1A"
"116","SMCHD1"
"117","SMG1"
"118","SPEN"
"119","SPOPL"
"120","SRBD1"
"121","SZT2"
"122","TBCK"
"123","TICRR"
"124","TMA16"
"125","TMEM11"
"126","TOP3A"
"127","TRAF3"
"128","TRIM2"
"129","TRMT10A"
"130","TRMT61A"
"131","TTBK2"
"132","TTC27"
"133","UBR4"
"134","ULK2"
"135","USP38"
"136","UTP3"
"137","VRK1"
"138","WDR20"
"139","WDR25"
"140","XPO1"
"141","YTHDC1"
"142","ZNF18"
"143","ZNF287"
"144","ZNF462"
"145","ZNF770"
"146","ZNF827"
