"","c1_HuAgeGBsplitRnaseq_47....QSVZbyPSVZ__"
"1","AASDHPPT"
"2","ALG9"
"3","AMOTL2"
"4","ANXA5"
"5","APLP2"
"6","ARCN1"
"7","ARHGEF12"
"8","B3GAT1"
"9","BACE1"
"10","BUD13"
"11","C2CD2L"
"12","CADM1"
"13","CCDC90B"
"14","DPAGT1"
"15","ELMOD1"
"16","FEZ1"
"17","FOXRED1"
"18","GAMT"
"19","HEPACAM"
"20","HMBS"
"21","LRP5"
"22","MED17"
"23","NCAM1"
"24","NFRKB"
"25","NLRX1"
"26","NPAT"
"27","PHLDB1"
"28","PIH1D2"
"29","SIAE"
"30","SIDT2"
"31","SIK3"
"32","SLC37A4"
"33","SNX19"
"34","SRPRA"
"35","ST3GAL4"
"36","STT3A"
"37","TIPARP"
"38","TIRAP"
"39","TMEM126A"
"40","TMEM126B"
"41","TMEM136"
"42","TMEM218"
"43","TMEM25"
"44","VPS11"
"45","VWA5A"
