"","c1_HuAgeGBsplitRnaseq_343....QGBCbyPGBC__"
"1","AC004865.2"
"2","AC006445.1"
"3","AC010335.1"
"4","AC024592.2"
"5","AC026422.1"
"6","AC027176.3"
"7","AC092326.1"
"8","AC092653.2"
"9","AC098614.2"
"10","AC138894.3"
"11","AC233263.6"
"12","AC234775.1"
"13","AC234778.2"
"14","AL022310.1"
"15","AL132640.3"
"16","AL355432.1"
"17","AL360181.4"
"18","AL583810.1"
"19","AP1G2"
"20","CNN2P8"
"21","DENND6A-DT"
"22","DOC2GP"
"23","FBLN5"
"24","FUT3"
"25","GAPDHP58"
"26","KCNA7"
"27","LINC01300"
"28","MIR5695"
"29","PPIAP89"
"30","RN7SL342P"
"31","RN7SL396P"
"32","RN7SL586P"
"33","RN7SL714P"
"34","RNA5SP463"
"35","RNU6-1273P"
"36","RNU6-293P"
"37","RNU6-450P"
"38","RPL10P4"
"39","RPL37AP8"
"40","SNORA3C"
"41","SUMO2P15"
"42","SYCE2"
"43","TFAP2E"
"44","TMEM52"
"45","TRAJ7"
"46","ZNF511-PRAP1"
