"","c1_HuAgeGBsplitRnaseq_450....QSVZbyPSVZ__"
"1","ACSL6"
"2","ACVR2A"
"3","ADCY5"
"4","ASIC2"
"5","BCAS3"
"6","C17orf58"
"7","CACNA2D3"
"8","CACNB4"
"9","CD38"
"10","CDH10"
"11","CDH13"
"12","CDH9"
"13","CHIC1"
"14","CHST11"
"15","CNTN4"
"16","CNTNAP2"
"17","CPEB1"
"18","CRTC3"
"19","CTDSPL"
"20","CYP2C8"
"21","DAB1"
"22","DLG2"
"23","DLGAP2"
"24","EDNRA"
"25","EFHD1"
"26","EML2"
"27","EMX2"
"28","ERBB4"
"29","ESRRG"
"30","FAM126B"
"31","FARS2"
"32","FGF14"
"33","FGGY"
"34","FRMD4A"
"35","GHR"
"36","GNAL"
"37","GPC5"
"38","GPC6"
"39","GPR63"
"40","GRB14"
"41","GRIFIN"
"42","GRIP1"
"43","GRM5"
"44","GRM7"
"45","HDAC8"
"46","IGSF3"
"47","JAZF1"
"48","KAZN"
"49","KCNH5"
"50","KCNN3"
"51","KIRREL3"
"52","LFNG"
"53","LGALS2"
"54","LRRC4C"
"55","LRRTM4"
"56","MAN1A1"
"57","MBD5"
"58","MCTP1"
"59","MDGA2"
"60","METTL25"
"61","MYRIP"
"62","NAV3"
"63","NCKAP5"
"64","NCOA7"
"65","NEGR1"
"66","NKAIN2"
"67","NPAS3"
"68","NRG3"
"69","NRIP1"
"70","OPCML"
"71","PAK5"
"72","PARP8"
"73","PDE7B"
"74","PERP"
"75","PHACTR1"
"76","PLS1"
"77","PPM1H"
"78","PRICKLE2"
"79","PTPRD"
"80","RAB27B"
"81","RALYL"
"82","RBFOX1"
"83","RGS6"
"84","RGS7"
"85","RIMS2"
"86","RORA"
"87","RREB1"
"88","SAMD5"
"89","SLC1A4"
"90","SLC35F3"
"91","SLC4A10"
"92","SLC6A9"
"93","SLCO3A1"
"94","SNRPN"
"95","SNTB2"
"96","SPARC"
"97","SPECC1"
"98","SYNM"
"99","SYT14"
"100","SYT16"
"101","TANK"
"102","TENM2"
"103","THSD7A"
"104","TMEM177"
"105","TMTC2"
"106","ULK4"
"107","UNC5C"
"108","ZFPM2"
"109","ZNF385B"
