"","c1_HuAgeGBsplitRnaseq_85....PGBCbyQGBC__"
"1","AC103706.1"
"2","AF111167.2"
"3","AKR1C1"
"4","AKR1C2"
"5","AKR1C3"
"6","AL360270.3"
"7","AL445423.1"
"8","AP002518.2"
"9","APLN"
"10","ARHGAP18"
"11","ATP10A"
"12","CA2"
"13","CA3-AS1"
"14","CAVIN2"
"15","CCNQ"
"16","CD34"
"17","CDH5"
"18","CHCHD7"
"19","COL1A1"
"20","COL1A2"
"21","COL3A1"
"22","COL4A1"
"23","COL4A2"
"24","COL5A1"
"25","COL6A1"
"26","COL6A2"
"27","COL6A3"
"28","COL8A1"
"29","CTGF"
"30","CYP1B1"
"31","CYR61"
"32","DCN"
"33","DOCK9"
"34","EDN1"
"35","ENG"
"36","EPAS1"
"37","ESAM"
"38","FBLN1"
"39","FBLN2"
"40","FKBP5"
"41","FMNL3"
"42","FN1"
"43","FOXL1"
"44","FTH1P2"
"45","GGT5"
"46","GLCE"
"47","GPR85"
"48","HEG1"
"49","HERC2P3"
"50","HERC2P9"
"51","HLX"
"52","HMGA2"
"53","HRCT1"
"54","HSPB6"
"55","HSPG2"
"56","HTRA3"
"57","HYAL2"
"58","IL4R"
"59","INSR"
"60","IP6K3"
"61","ITGA10"
"62","JCAD"
"63","KDELR3"
"64","LAMA4"
"65","LAMC1"
"66","LAYN"
"67","LINC01352"
"68","LTBP2"
"69","MARVELD2"
"70","MFSD2A"
"71","MT1A"
"72","MT1E"
"73","MT1F"
"74","MT1G"
"75","MT1L"
"76","MT1M"
"77","MT2A"
"78","MYLK2"
"79","NAGS"
"80","NBL1"
"81","NET1"
"82","NID1"
"83","NKD2"
"84","NMRK1"
"85","NUP107"
"86","OLFML2A"
"87","OSTF1"
"88","PMAIP1"
"89","QPCT"
"90","RAB3IP"
"91","RAP1B"
"92","RCSD1"
"93","RNF144B"
"94","SELENBP1"
"95","SLC12A8"
"96","SLC16A1"
"97","SLC35E3"
"98","SLC7A5"
"99","SLC7A5P1"
"100","SMAP2"
"101","SOX18"
"102","ST3GAL1"
"103","STARD8"
"104","STC1"
"105","TBC1D4"
"106","TBX3"
"107","TGM2"
"108","TMEM191A"
"109","TPCN2"
"110","TSC22D3"
"111","USP53"
"112","VSIG2"
"113","ZBED5-AS1"
"114","ZC3H12A"
