"","c1_HuAgeGBsplitRnaseq_704....PGBCbyQGBC__"
"1","AC004556.1"
"2","AC008592.3"
"3","AC026250.1"
"4","AC068580.4"
"5","AC096915.1"
"6","AF250324.1"
"7","AL133353.1"
"8","AL139413.1"
"9","BMI1"
"10","CASP6"
"11","CD44"
"12","COPB1"
"13","CYP2R1"
"14","EHD4"
"15","FOXC2-AS1"
"16","HFE"
"17","HRAS"
"18","IFITM10"
"19","LBHD1"
"20","MAP3K5"
"21","MCUB"
"22","MLLT10P2"
"23","MRPL23"
"24","PAM"
"25","PDHX"
"26","PPIAP26"
"27","RIC8A"
"28","RNH1"
"29","RNU1-51P"
"30","RRAS2"
"31","RRM1"
"32","SH3BGR"
"33","SPTBN5"
"34","SWAP70"
"35","TOLLIP-AS1"
"36","TSSC4"
