"","c1_HuAgeGBsplitRnaseq_74....PGBCbyQGBC__"
"1","AC002347.1"
"2","AC007250.1"
"3","AC012640.5"
"4","AC073370.1"
"5","AC079834.1"
"6","AC104837.1"
"7","AC112715.1"
"8","AC233290.1"
"9","AL136968.2"
"10","AL161431.1"
"11","ASRGL1"
"12","ATP5MC2P1"
"13","BACE2"
"14","CD55"
"15","CFL1P2"
"16","CLIC4P3"
"17","DNAJA1P3"
"18","FAM136BP"
"19","HNRNPA1P27"
"20","KRT18"
"21","KRT8"
"22","LINC00942"
"23","LINC01564"
"24","LRRC34"
"25","LYPD3"
"26","MT1B"
"27","OSMR"
"28","PADI3"
"29","PPIAP33"
"30","PSG4"
"31","RF02272"
"32","RHOV"
"33","RN7SL208P"
"34","RNA5SP490"
"35","RNU6-173P"
"36","RPL12P14"
"37","SEPHS1P4"
"38","SLC16A6P1"
"39","SMIM10"
"40","SUMO2P6"
"41","TPMTP1"
"42","TUBBP1"
"43","URB1-AS1"
"44","Z69890.1"
"45","ZMIZ1-AS1"
