"","c1_HuAgeGBsplitRnaseq_305....NSCbyNPC__"
"1","ABCE1"
"2","AFF1"
"3","C4orf46"
"4","CENPC"
"5","CENPU"
"6","CNOT6L"
"7","DCK"
"8","ETFDH"
"9","EXOSC9"
"10","FAM13A"
"11","FNIP2"
"12","G3BP2"
"13","GALNT7"
"14","H2AFZ"
"15","HMGN2"
"16","HNRNPD"
"17","HPF1"
"18","ING2"
"19","IRF2"
"20","JADE1"
"21","LARP7"
"22","LIN54"
"23","LSM6"
"24","MANBA"
"25","METAP1"
"26","NAA15"
"27","NFKB1"
"28","OTUD4"
"29","PTPN18"
"30","RAP1GDS1"
"31","RAPGEF2"
"32","SAP30"
"33","SNX25"
"34","TRAPPC11"
"35","UBA6"
"36","USP38"
"37","UTP3"
