"","c1_HuAgeGBsplitRnaseq_100....PGBObyQGBO__"
"1","AC013451.2"
"2","AC022211.2"
"3","AC032011.1"
"4","AC099811.3"
"5","AC107021.2"
"6","AL603839.4"
"7","AP003774.3"
"8","BCL2A1"
"9","EMB"
"10","HIST1H1T"
"11","HIST1H2AB"
"12","HIST1H3F"
"13","HIST1H4A"
"14","HIST1H4B"
"15","HIST1H4C"
"16","HIST2H2AC"
"17","IL11"
"18","MILR1"
"19","MIR193BHG"
"20","MIR4734"
"21","PLOD2"
"22","RNY1"
"23","TLR5"
"24","TMEM87B"
"25","VTRNA1-3"
"26","Z69706.1"
