"","c1_HuAgeGBsplitRnaseq_62....QNPbyTAP__"
"1","ARHGAP31"
"2","ATG3"
"3","ATP1B3"
"4","ATP6V1A"
"5","CBLB"
"6","CCDC58"
"7","CDV3"
"8","CEP97"
"9","COX17"
"10","DZIP3"
"11","EPHB3"
"12","GOLIM4"
"13","GSK3B"
"14","GTF2E1"
"15","GTPBP8"
"16","HSPBAP1"
"17","IQCB1"
"18","NAA50"
"19","NDUFB4"
"20","NEPRO"
"21","NIT2"
"22","NXPE3"
"23","POGLUT1"
"24","PSMD2"
"25","RAB7A"
"26","RABL3"
"27","SHOX2"
"28","SLC35A5"
"29","SNX4"
"30","SPICE1"
"31","TBC1D23"
"32","TFG"
"33","TIMMDC1"
"34","TMEM39A"
"35","TOMM70"
"36","TRMT10C"
"37","UMPS"
"38","USF3"
"39","WDR5B"
"40","ZBTB11"
