"","c1_HuAgeGBsplitRnaseq_181....PGBCbyQGBC__"
"1","AC079610.2"
"2","AC079949.1"
"3","AC079949.2"
"4","ACADM"
"5","AJ011932.1"
"6","AL049597.2"
"7","AL359915.2"
"8","ARPC2"
"9","ATP5PB"
"10","BCAS2"
"11","C1orf109"
"12","CEP85"
"13","COA7"
"14","CRYZ"
"15","CTPS1"
"16","DDX20"
"17","DHDDS"
"18","DNAJC8"
"19","DPH2"
"20","EBNA1BP2"
"21","EIF2B3"
"22","EIF3I"
"23","ERI3"
"24","GNG5"
"25","GNL2"
"26","GPATCH3"
"27","GTF2B"
"28","IQCC"
"29","LRRC41"
"30","LSM10"
"31","LYPLA2"
"32","MAGOH"
"33","MANEAL"
"34","MRPL37"
"35","MRPS15"
"36","MYCL"
"37","NFYC"
"38","NSUN4"
"39","NUDC"
"40","PHACTR4"
"41","PIGK"
"42","PPIAP3"
"43","PPIH"
"44","PPP1R8"
"45","PPT1"
"46","PRADC1"
"47","PRKACB"
"48","PRPF38A"
"49","RAP1GAP"
"50","RBBP4"
"51","RPA2"
"52","RPF1"
"53","SDHB"
"54","SELENOF"
"55","SERBP1"
"56","SF3A3"
"57","SH3GLB1"
"58","SMIM12"
"59","SNIP1"
"60","SRSF4"
"61","SYF2"
"62","TM2D1"
"63","TMEM222"
"64","TMEM39B"
"65","TMEM50A"
"66","TMEM59"
"67","TOE1"
"68","TRAPPC3"
"69","TRIT1"
"70","TYW3"
"71","USP48"
"72","UTP11"
"73","WDR3"
"74","WDR77"
"75","YBX1"
"76","YRDC"
"77","ZBTB8OS"
"78","ZCCHC17"
