"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"c1_HuAgeGBsplitRnaseq_17","QNPbyTAP__","User",4.91255475429105e-16
"c1_HuAgeGBsplitRnaseq_1614","TAPbyQNP__","User",5.20280439662779e-16
"c1_HuAgeGBsplitRnaseq_58","TAPbyQNP__","User",6.88735291811719e-16
"c1_HuAgeGBsplitRnaseq_830","TAPbyQNP__","User",7.12270731572511e-16
"c1_HuAgeGBsplitRnaseq_690","PGBCbyQGBC__","User",7.12637342176042e-16
"c1_HuAgeGBsplitRnaseq_49","PGBCbyQGBC__","User",7.42260361173108e-16
"c1_HuAgeGBsplitRnaseq_456","TAPbyQNP__","User",1.31363439565573e-15
"c1_HuAgeGBsplitRnaseq_294","NSCbyNPC__","User",1.32050843093376e-15
"c1_HuAgeGBsplitRnaseq_181","TAPbyQNP__","User",1.39581778749093e-15
"c1_HuAgeGBsplitRnaseq_186","PGBCbyQGBC__","User",1.68121116451086e-15
"c1_HuAgeGBsplitRnaseq_178","PGBCbyQGBC__","User",2.92727302336719e-15
"c1_HuAgeGBsplitRnaseq_61","PGBCbyQGBC__","User",4.41992911857136e-15
"c1_HuAgeGBsplitRnaseq_34","NSCbyNPC__","User",5.24634170334269e-15
"c1_HuAgeGBsplitRnaseq_38","PSVZbyQSVZ__","User",7.46512261048275e-15
"c1_HuAgeGBsplitRnaseq_30","QSVZbyPSVZ__","User",1.16226182995861e-14
"c1_HuAgeGBsplitRnaseq_253","PGBCbyQGBC__","User",1.57746941525938e-14
"c1_HuAgeGBsplitRnaseq_42","TAPbyQNP__","User",2.83257209967136e-14
"c1_HuAgeGBsplitRnaseq_56","PGBCbyQGBC__","User",1.35967717066602e-13
"c1_HuAgeGBsplitRnaseq_60","TAPbyQNP__","User",1.41843267270531e-13
"c1_HuAgeGBsplitRnaseq_68","PGBCbyQGBC__","User",1.78151579657595e-13
"c1_HuAgeGBsplitRnaseq_188","QSVZbyPSVZ__","User",3.32724699898279e-13
"c1_HuAgeGBsplitRnaseq_22","NSCbyNPC__","User",3.76043440346663e-13
"c1_HuAgeGBsplitRnaseq_35","NPCbyNSC__","User",5.05116199256566e-13
"c1_HuAgeGBsplitRnaseq_215","QGBCbyPGBC__","User",5.47624829007225e-13
"c1_HuAgeGBsplitRnaseq_59","TAPbyQNP__","User",5.59963629319409e-13
"c1_HuAgeGBsplitRnaseq_764","TAPbyQNP__","User",6.21980772821293e-13
