"","c1_HuAgeGBsplitRnaseq_54....QGBObyPGBO__"
"1","AC004847.1"
"2","AC024257.2"
"3","AL136126.1"
"4","AL645929.1"
"5","APOL4"
"6","BAZ1A"
"7","BRMS1L"
"8","BST2"
"9","BTN3A2"
"10","C1orf61"
"11","CCDC194"
"12","CMPK2"
"13","DAP3P2"
"14","EMC9"
"15","FAM111A-DT"
"16","FGF22"
"17","HLA-C"
"18","HNRNPC"
"19","IZUMO4"
"20","L2HGDH"
"21","LAG3"
"22","LGALS3BP"
"23","LPCAT2"
"24","LY6E"
"25","MCOLN2"
"26","MYD88"
"27","ODF3B"
"28","PLA2G12AP1"
"29","PML"
"30","PNP"
"31","PPP1R2P1"
"32","PSMB8"
"33","PSMB9"
"34","PSME1"
"35","PSME2"
"36","PTGES3P1"
"37","RAC2"
"38","RARRES3"
"39","REC8"
"40","SLC16A11"
"41","SLC19A3"
"42","TRGV9"
"43","TRIM69"
