"","c1_HuAgeGBsplitRnaseq_964....PGBCbyQGBC__"
"1","ABCE1"
"2","AC019131.2"
"3","AC114811.2"
"4","ADH5"
"5","AIMP1"
"6","AP001816.1"
"7","ATL2"
"8","BBS12"
"9","BBS7"
"10","BMPR1B"
"11","C4orf3"
"12","COPS4"
"13","COQ2"
"14","DCK"
"15","DHFR2"
"16","EIF4E"
"17","ELF2"
"18","ELMOD2"
"19","ENOPH1"
"20","EXOSC9"
"21","FAM114A1"
"22","G3BP2"
"23","GAR1"
"24","GRSF1"
"25","H2AFZ"
"26","HADH"
"27","HMGN2"
"28","HNRNPD"
"29","HSD17B11"
"30","KLHL2"
"31","KLHL8"
"32","LARP7"
"33","LSM6"
"34","METAP1"
"35","MOB1B"
"36","MRPL1"
"37","MRPS18C"
"38","MTHFD2L"
"39","NAA15"
"40","NDUFC1"
"41","NFKB1"
"42","NUDT9"
"43","NUP54"
"44","OSTC"
"45","OTUD4"
"46","PAPSS1"
"47","PDLIM5"
"48","PKD2"
"49","PPA2"
"50","PPP3CA"
"51","PTPN18"
"52","PYURF"
"53","RAP1GDS1"
"54","RBM45"
"55","RCHY1"
"56","RIMKLA"
"57","SCARB2"
"58","SCD5"
"59","SCOC"
"60","SEC24D"
"61","SMARCA5"
"62","TET2"
"63","THAP9"
"64","TIGD2"
"65","TRMT10A"
"66","TSPAN5"
"67","UBE2D3"
"68","USO1"
"69","UTP3"
"70","YTHDC1"
