"","c1_HuAgeGBsplitRnaseq_185....PGBObyQGBO__"
"1","AC005593.1"
"2","AC008115.1"
"3","AC008972.1"
"4","AC009486.1"
"5","AC012462.3"
"6","AC013400.1"
"7","AC015813.7"
"8","AC026803.2"
"9","AC073352.1"
"10","AC073911.2"
"11","AC092117.1"
"12","AC098591.1"
"13","AC104187.1"
"14","AC117382.2"
"15","AC120024.1"
"16","AC245014.3"
"17","AL023806.1"
"18","AL096677.1"
"19","AL121983.1"
"20","AL137077.2"
"21","AL138966.2"
"22","AL358933.1"
"23","AL359258.3"
"24","AL445228.2"
"25","AL449106.1"
"26","AL590096.1"
"27","AL591167.1"
"28","AP000845.1"
"29","AP003733.4"
"30","ATXN2-AS"
"31","HCG4B"
"32","HEXA-AS1"
"33","HIST1H2APS5"
"34","LENEP"
"35","LINC00324"
"36","NTRK3"
"37","RF00003"
"38","RNVU1-19"
"39","TPRG1-AS1"
"40","Z93241.1"
"41","ZFX-AS1"
