"","c1_HuAgeGBsplitRnaseq_291....NSCbyNPC__"
"1","ARHGAP11A"
"2","ARHGEF39"
"3","ASF1B"
"4","ASPM"
"5","AUNIP"
"6","AURKA"
"7","AURKB"
"8","BIRC5"
"9","BRCA2"
"10","BUB1"
"11","C17orf53"
"12","CCDC18"
"13","CCNA2"
"14","CCNB1"
"15","CCNB2"
"16","CDC20"
"17","CDC25C"
"18","CDCA2"
"19","CDCA5"
"20","CDCA8"
"21","CDK1"
"22","CDKN3"
"23","CENPA"
"24","CENPE"
"25","CENPF"
"26","CENPI"
"27","CENPW"
"28","CEP152"
"29","CEP55"
"30","CKAP2L"
"31","CLSPN"
"32","DEPDC1"
"33","DEPDC1B"
"34","DLGAP5"
"35","E2F1"
"36","E2F2"
"37","E2F7"
"38","ECT2"
"39","ESCO2"
"40","ESPL1"
"41","FANCB"
"42","FANCD2"
"43","FANCI"
"44","GAS2L3"
"45","HAUS8"
"46","HJURP"
"47","HMGB2"
"48","HMMR"
"49","IL13RA1"
"50","INCENP"
"51","IQGAP3"
"52","KIF11"
"53","KIF14"
"54","KIF15"
"55","KIF18A"
"56","KIF20A"
"57","KIF20B"
"58","KIF24"
"59","KIF2C"
"60","KIF4A"
"61","KIFC1"
"62","KNL1"
"63","KNSTRN"
"64","MAD2L1"
"65","MELK"
"66","MKI67"
"67","MTFR2"
"68","MXD3"
"69","MYBL2"
"70","NCAPG"
"71","NCAPH"
"72","NCEH1"
"73","NDC80"
"74","NDE1"
"75","NEIL3"
"76","NEK2"
"77","NUF2"
"78","NUSAP1"
"79","OIP5"
"80","PBK"
"81","PIF1"
"82","PIMREG"
"83","PLK1"
"84","PLK4"
"85","POLA1"
"86","POLA2"
"87","POLE2"
"88","POLQ"
"89","PRR11"
"90","RACGAP1"
"91","RAD54L"
"92","REEP4"
"93","RTKN2"
"94","SHCBP1"
"95","SKA1"
"96","SKA3"
"97","SLFN5"
"98","SPC24"
"99","SPC25"
"100","STIL"
"101","TOP2A"
"102","TPX2"
"103","TROAP"
"104","TTK"
"105","UBE2C"
"106","UBE2T"
"107","WDHD1"
"108","XRCC2"
"109","ZWILCH"
