"","c1_HuAgeGBsplitRnaseq_53....QNPbyTAP__"
"1","ABHD8"
"2","ANO6"
"3","ANXA1"
"4","ARHGEF39"
"5","ARL6IP5"
"6","ARSG"
"7","AURKB"
"8","BAMBI"
"9","C17orf53"
"10","CD47"
"11","CEP55"
"12","CGGBP1"
"13","CHMP2B"
"14","CIP2A"
"15","DAG1"
"16","ENO3"
"17","FANCI"
"18","FNDC8"
"19","HMGB2"
"20","HMMR"
"21","IFT57"
"22","INCENP"
"23","ITGA3"
"24","ITGB1"
"25","KIF11"
"26","KIF18B"
"27","KIF20B"
"28","MKI67"
"29","MON1A"
"30","NDE1"
"31","PACSIN3"
"32","PARP3"
"33","PIMREG"
"34","PLK1"
"35","POLA2"
"36","POLQ"
"37","PPP1R9B"
"38","PTPN23"
"39","RASSF1"
"40","RBM15B"
"41","REEP4"
"42","S100A4"
"43","SERPINE1"
"44","SLFN5"
"45","SYDE1"
"46","TNFRSF12A"
"47","TOP2A"
"48","VIM"
"49","WDR6"
"50","ZNF239"
