"","c1_HuAgeGBsplitRnaseq_6....PSVZbyQSVZ__"
"1","ABCF1"
"2","ABHD2"
"3","ABT1"
"4","ADAMTSL1"
"5","ARRB2"
"6","B3GNTL1"
"7","BAG6"
"8","BRD2"
"9","BRPF3"
"10","BYSL"
"11","C6orf62"
"12","CDC5L"
"13","CDON"
"14","CMTR1"
"15","CUL7"
"16","CUL9"
"17","DAXX"
"18","DCBLD2"
"19","DDAH2"
"20","DNPH1"
"21","DXO"
"22","EHMT2"
"23","ELN"
"24","EMP1"
"25","GUCY1A2"
"26","GUSB"
"27","HDAC1"
"28","HSP90AB1"
"29","KCTD20"
"30","KDM1B"
"31","KLHDC3"
"32","LSM2"
"33","MAD2L1BP"
"34","MAPK14"
"35","MDC1"
"36","MEA1"
"37","MN1"
"38","MRPL14"
"39","MRPS10"
"40","MRPS18B"
"41","NAMPT"
"42","NELFE"
"43","NFKBIL1"
"44","NFYA"
"45","OARD1"
"46","PBX2"
"47","PFDN2"
"48","PFDN6"
"49","POLR1C"
"50","PPIL1"
"51","PROCR"
"52","PRR3"
"53","RNF8"
"54","RPL7L1"
"55","RXRB"
"56","SBDS"
"57","SCML2"
"58","SKIV2L"
"59","SLC22A5"
"60","SMIM13"
"61","SNRPC"
"62","STAG3"
"63","STK38"
"64","SYCE2"
"65","TFAP2E"
"66","TMEM63B"
"67","TPST1"
"68","TTBK1"
"69","UBR2"
"70","VKORC1L1"
"71","VPS37D"
"72","VPS52"
"73","WDR46"
"74","WDSUB1"
"75","YWHAG"
"76","YWHAH"
"77","ZBTB22"
"78","ZFAND3"
"79","ZKSCAN8"
"80","ZNF746"
"81","ZNRD1"
