"","c1_HuAgeGBsplitRnaseq_155....PGBCbyQGBC__"
"1","AC009948.1"
"2","AC015813.5"
"3","AC015813.6"
"4","AC015912.3"
"5","AC046185.2"
"6","APPBP2"
"7","C17orf80"
"8","CCDC47"
"9","CLTC"
"10","COIL"
"11","CUEDC1"
"12","CYB561"
"13","DDX42"
"14","DGKE"
"15","DYNLL2"
"16","FAM104A"
"17","FBXL19-AS1"
"18","FKBP1B"
"19","FTSJ3"
"20","GPR37L1"
"21","HEATR6"
"22","HEXIM1"
"23","INTS2"
"24","KIFC3"
"25","KPNA2"
"26","LINC00511"
"27","LY6G5C"
"28","MRPL27"
"29","MRPL58"
"30","MRPS23"
"31","MRPS7"
"32","MSI2"
"33","MTMR4"
"34","NOL11"
"35","NUP85"
"36","PRKAR1A"
"37","PSMC5"
"38","PSMD12"
"39","PTRH2"
"40","RPS6KB1"
"41","SKA2"
"42","SMARCD2"
"43","SNRPGP17"
"44","SPOP"
"45","SRSF1"
"46","SUMO2"
"47","TACO1"
"48","TLK2"
"49","TMEM100"
"50","TMEM104"
"51","TSEN54"
"52","VEZF1"
"53","VMP1"
