"","c1_HuAgeGBsplitRnaseq_50....NPCbyNSC__"
"1","ABHD1"
"2","AKTIP"
"3","AMFR"
"4","ATP6V0D1"
"5","BCAR1"
"6","C16orf87"
"7","CCDC102A"
"8","CFAP20"
"9","CMTR2"
"10","COG4"
"11","DYNC1LI2"
"12","ELMO3"
"13","FAM107A"
"14","FBXO2"
"15","GAN"
"16","GFOD2"
"17","GNAO1"
"18","HEATR3"
"19","HSBP1"
"20","IST1"
"21","ITFG1"
"22","KIF1A"
"23","LONP2"
"24","MMD2"
"25","MPHOSPH6"
"26","NAE1"
"27","NCAN"
"28","NDRG4"
"29","OGFOD1"
"30","PLAT"
"31","PRDM8"
"32","SELENOM"
"33","SETD6"
"34","SIAH1"
"35","ST3GAL5"
"36","TAF1C"
"37","TERF2IP"
"38","TMEM208"
"39","TSNAXIP1"
"40","UBXN11"
"41","WDR59"
"42","ZFP1"
"43","ZNRF1"
