"","c1_HuAgeGBsplitRnaseq_212....QSVZbyPSVZ__"
"1","ATP13A2"
"2","ATP5IF1"
"3","AXL"
"4","C8orf82"
"5","CCDC85B"
"6","CEBPB"
"7","CEBPD"
"8","CHCHD10"
"9","CNNM3"
"10","CPEB2"
"11","CPT2"
"12","CYLD"
"13","DBI"
"14","ENDOG"
"15","F5"
"16","FAHD1"
"17","FAM20C"
"18","FCHSD1"
"19","FUCA2"
"20","H2AFJ"
"21","KIFC2"
"22","METRN"
"23","MMP14"
"24","MRPS34"
"25","NAGLU"
"26","NDUFB10"
"27","NR2E1"
"28","PCSK1N"
"29","PGP"
"30","RGCC"
"31","RHBDF1"
"32","RHBDL1"
"33","RHOJ"
"34","RNASET2"
"35","SH2B3"
"36","TMEM160"
"37","TMEM88B"
"38","TRPM3"
"39","YPEL3"
"40","ZNF579"
"41","ZNF771"
