"","c1_HuAgeGBsplitRnaseq_12....TAPbyQNP__"
"1","ACSL1"
"2","APOLD1"
"3","ARHGAP18"
"4","CDH6"
"5","COBLL1"
"6","COL4A1"
"7","COL4A2"
"8","CPM"
"9","DDIT4"
"10","ELOVL7"
"11","EXOC3L1"
"12","FKBP5"
"13","FMNL3"
"14","FRS2"
"15","GLCE"
"16","GPCPD1"
"17","GPR137B"
"18","HMGA1"
"19","JCAD"
"20","LAMA4"
"21","LRRC32"
"22","MDM2"
"23","MFSD2A"
"24","NET1"
"25","NKD2"
"26","NUP107"
"27","PIK3R1"
"28","PPP1R12B"
"29","QPCT"
"30","RAB21"
"31","RAB3IP"
"32","RAP1B"
"33","SHISA4"
"34","SLC16A1"
"35","SLC16A14"
"36","SLC30A1"
"37","SLC39A10"
"38","SYT1"
"39","TBC1D15"
"40","TNFRSF4"
