"","c1_HuAgeGBsplitRnaseq_343....PGBObyQGBO__"
"1","AC004865.2"
"2","AC005822.1"
"3","AC008429.2"
"4","AC010894.5"
"5","AC017079.2"
"6","AC092653.2"
"7","AL021407.3"
"8","AL031073.1"
"9","AL078644.2"
"10","AL109741.2"
"11","AL132640.3"
"12","AL138688.2"
"13","AL583810.1"
"14","EPS8L1"
"15","LYPLA2P2"
"16","MIR5695"
"17","MTND4LP1"
"18","RNU1-89P"
