"","c1_HuAgeGBsplitRnaseq_36....PGBCbyQGBC__"
"1","AC005695.3"
"2","AC068338.2"
"3","AC112220.3"
"4","AC138207.2"
"5","ALG1L6P"
"6","AP000350.2"
"7","AP000350.6"
"8","AP001000.1"
"9","AP1B1"
"10","ASCC2"
"11","ATP6V1E1"
"12","ATXN10"
"13","BCL2L13"
"14","C22orf46"
"15","CCDC117"
"16","CCDC157"
"17","CCDC188"
"18","CDC45"
"19","CENPM"
"20","CHEK2"
"21","CLTCL1"
"22","CNN2"
"23","COMT"
"24","COX6A1P2"
"25","CRELD2"
"26","CRKL"
"27","CYB5R3"
"28","DDT"
"29","DDTL"
"30","DGCR6L"
"31","DLK2"
"32","DRG1"
"33","EMID1"
"34","FAM227A"
"35","FAM86DP"
"36","FBXO7"
"37","GTSE1"
"38","GUCD1"
"39","H1F0"
"40","HDHD5"
"41","IGLV1-51"
"42","IL17RA"
"43","KCTD17"
"44","KIAA0930"
"45","KLHL22"
"46","KREMEN1"
"47","L3MBTL2"
"48","LARGE1"
"49","LMF2"
"50","MAFF"
"51","MAPK1"
"52","MCAT"
"53","MGLL"
"54","MIF-AS1"
"55","MLC1"
"56","NCAPH2"
"57","NDUFA6"
"58","NR1D2"
"59","NUP50"
"60","P2RX6"
"61","PANX2"
"62","PES1"
"63","PHF5A"
"64","PICK1"
"65","PITPNB"
"66","PMM1"
"67","POLDIP3"
"68","POLR2F"
"69","POLR3H"
"70","PRR34"
"71","RAB36"
"72","RANBP1"
"73","RBX1"
"74","RHBDD3"
"75","RNF185"
"76","RPS19BP1"
"77","RRAD"
"78","RRP7A"
"79","RTCB"
"80","RTL6"
"81","SCARF2"
"82","SCO2"
"83","SDF2L1"
"84","SF3A1"
"85","SFI1"
"86","SLC25A1"
"87","SLC25A17"
"88","SLC35E4"
"89","SMARCB1"
"90","SMDT1"
"91","SNAP29"
"92","SNRPD3"
"93","SREBF2"
"94","SRRD"
"95","ST13"
"96","TCN2"
"97","THAP7"
"98","THAP7-AS1"
"99","TMEM191C"
"100","TOMM22"
"101","TRAK2"
"102","TRIOBP"
"103","TTC28-AS1"
"104","UBE2L3"
"105","UQCR10"
"106","WFS1"
"107","XRCC6"
