"","c1_HuAgeGBsplitRnaseq_228....PGBCbyQGBC__"
"1","AC012513.3"
"2","AC092354.1"
"3","AC092354.2"
"4","AC108693.2"
"5","AC123595.1"
"6","ARRDC3"
"7","ARSK"
"8","BRD8"
"9","C5orf15"
"10","CDC23"
"11","CETN3"
"12","COMMD10"
"13","CTNNA1"
"14","FAH"
"15","G3BP1"
"16","GEMIN5"
"17","HARS"
"18","HSD17B4"
"19","IK"
"20","ISOC1"
"21","KIAA0141"
"22","LINC01963"
"23","LYSMD3"
"24","MATR3"
"25","MRPL22"
"26","NDST1"
"27","NMD3"
"28","PPIP5K2"
"29","PRKAR2B"
"30","PWWP2A"
"31","SHMT1"
"32","SNX18"
"33","STK32A"
"34","STK32A-AS1"
"35","TCOF1"
"36","TDGF1P7"
"37","TSLP"
"38","TTC1"
"39","UTP15"
"40","YTHDC2"
"41","ZCCHC10"
