"","c1_HuAgeGBsplitRnaseq_39....NSCbyNPC__"
"1","ALDH2"
"2","C5orf15"
"3","CDC42SE2"
"4","DCP2"
"5","DHX29"
"6","DNM2"
"7","DOK3"
"8","ETF1"
"9","FAM174A"
"10","FAM53C"
"11","G3BP1"
"12","GEMIN5"
"13","GSDME"
"14","JADE2"
"15","LARP1"
"16","MAN1C1"
"17","NNT"
"18","NUDCD2"
"19","OXCT1"
"20","PCYOX1L"
"21","PGGT1B"
"22","PRPF40A"
"23","PRRC1"
"24","SHMT1"
"25","SLC26A2"
"26","SMAD5"
"27","SNX2"
"28","SNX24"
"29","SPDL1"
"30","SRFBP1"
"31","ST8SIA4"
"32","TCOF1"
"33","UBTF"
"34","UTP15"
"35","WDR36"
"36","WDR55"
