"","c1_HuAgeGBsplitRnaseq_94....QGBCbyPGBC__"
"1","AC006252.1"
"2","AC009133.3"
"3","AC009452.1"
"4","AC023669.1"
"5","AL031123.2"
"6","AL160394.1"
"7","AL357078.3"
"8","AL442663.1"
"9","ALAS2"
"10","AP000974.1"
"11","BOC"
"12","C4A"
"13","C4B"
"14","CEL"
"15","CYP21A1P"
"16","CYP21A2"
"17","GAD1"
"18","GLIPR1L2"
"19","IL15RA"
"20","LBX2"
"21","LBX2-AS1"
"22","MIR4682"
"23","NBPF2P"
"24","NPIPB15"
"25","PKD1L2"
"26","PRADC1P1"
"27","RN7SL155P"
"28","RN7SL317P"
"29","RNU6-880P"
"30","SERPINA5"
"31","STK19B"
"32","TMPRSS3"
"33","TNXB"
