"","c1_HuAgeGBsplitRnaseq_764....QSVZbyPSVZ__"
"1","AK1"
"2","APBA1"
"3","ASS1"
"4","CACFD1"
"5","FAM189A2"
"6","FKTN"
"7","FNBP1"
"8","GARNL3"
"9","GOLM1"
"10","GPR107"
"11","GTF3C5"
"12","HSDL2"
"13","KIAA1958"
"14","MAMDC4"
"15","MAN1B1"
"16","MAOA"
"17","MAP6"
"18","MVB12B"
"19","NAT1"
"20","NOTCH1"
"21","PHPT1"
"22","PLEKHG1"
"23","PMEPA1"
"24","PRRC2B"
"25","PSMD5"
"26","RABGAP1"
"27","RALGDS"
"28","REXO4"
"29","SEC16A"
"30","SLC2A8"
"31","SLC31A1"
"32","STRBP"
"33","TBC1D13"
"34","TMEM245"
"35","TRAF2"
"36","TSC1"
"37","UCK1"
"38","WDR31"
"39","ZBTB34"
"40","ZBTB43"
"41","ZER1"
