"","c1_HuAgeGBsplitRnaseq_32....NSCbyNPC__"
"1","ACP2"
"2","AKIP1"
"3","AP2A2"
"4","API5"
"5","ARFGAP2"
"6","CARS"
"7","CCDC34"
"8","CHRDL1"
"9","CKAP5"
"10","DEPDC7"
"11","DGKZ"
"12","EHD4"
"13","FAR1"
"14","HFE"
"15","HPS5"
"16","HTATIP2"
"17","KIAA1549L"
"18","LMO1"
"19","MADD"
"20","METTL15"
"21","NAT10"
"22","NUCB2"
"23","NUP160"
"24","NUP98"
"25","PDE3B"
"26","PIK3C2A"
"27","PNPLA2"
"28","PXK"
"29","RBMX"
"30","RNF141"
"31","RRM1"
"32","SBF2"
"33","SCLT1"
"34","SLC35C1"
"35","SWAP70"
"36","TPP1"
"37","TRAF6"
"38","TSPAN4"
"39","UEVLD"
