"","c1_HuAgeGBsplitRnaseq_47....PSVZbyQSVZ__"
"1","ACAT1"
"2","ALKBH8"
"3","ANKRD49"
"4","ARHGAP32"
"5","CCDC82"
"6","CEP57"
"7","CLNS1A"
"8","CUL5"
"9","CWC15"
"10","DCPS"
"11","DCUN1D5"
"12","DDX10"
"13","EED"
"14","FAM118B"
"15","FAM76B"
"16","FDX1"
"17","GLB1L2"
"18","H2AFX"
"19","HINFP"
"20","IFT46"
"21","MRE11"
"22","MSANTD2"
"23","MTMR2"
"24","NCAPD3"
"25","PAFAH1B2"
"26","PANX1"
"27","PPP2R1B"
"28","RSF1"
"29","SLC36A4"
"30","THYN1"
"31","TIMM8B"
"32","TRAPPC4"
"33","USP28"
"34","ZPR1"
"35","ZW10"
