"","c1_HuAgeGBsplitRnaseq_45....QNPbyTAP__"
"1","ABHD17A"
"2","ANO8"
"3","AP3D1"
"4","ARL4D"
"5","ASNA1"
"6","BSG"
"7","C19orf25"
"8","CACTIN"
"9","CCDC130"
"10","CDC34"
"11","CDC37"
"12","CNIH2"
"13","CSNK1G2"
"14","CTXN1"
"15","DNASE2"
"16","FAHD2A"
"17","FBXW9"
"18","GADD45GIP1"
"19","GIPC1"
"20","HMG20B"
"21","ILVBL"
"22","MEX3D"
"23","MOB3A"
"24","MPV17L2"
"25","MVB12A"
"26","NCK2"
"27","NCLN"
"28","NDUFB7"
"29","NDUFS7"
"30","OCEL1"
"31","PIAS4"
"32","POLRMT"
"33","RIN1"
"34","RTN4"
"35","SF3A2"
"36","SH3BGRL3"
"37","SNN"
"38","SNRPA"
"39","SSBP4"
"40","TMED1"
"41","TRAPPC5"
"42","TUBB6"
"43","ZBTB7A"
