"","c1_HuAgeGBsplitRnaseq_39....TAPbyQNP__"
"1","AGGF1"
"2","ALDH2"
"3","AP3S1"
"4","ARSK"
"5","ASNSD1"
"6","ATG12"
"7","BAZ2B"
"8","BRD8"
"9","C5orf24"
"10","CCNH"
"11","CDC23"
"12","CEP120"
"13","CHD1"
"14","CSNK1A1"
"15","CSNK1G3"
"16","DDX46"
"17","DIAPH1"
"18","DMXL1"
"19","DNAJC18"
"20","DNM2"
"21","ETF1"
"22","FAM168B"
"23","FAM53C"
"24","FBXO38"
"25","GCC2"
"26","GIN1"
"27","H2AFY"
"28","HARS2"
"29","HDAC3"
"30","HMGXB3"
"31","HSPA9"
"32","KLHL23"
"33","LARS"
"34","LMBRD2"
"35","LNPEP"
"36","LRRCC1"
"37","MAP3K2"
"38","MBLAC2"
"39","MIER3"
"40","MMADHC"
"41","MTX3"
"42","NDFIP1"
"43","NDST1"
"44","NMD3"
"45","NNT"
"46","NR2F1"
"47","NTM"
"48","ORC4"
"49","PAIP1"
"50","PCYOX1L"
"51","PFDN1"
"52","PJA2"
"53","PPIG"
"54","PPIP5K2"
"55","PRPF40A"
"56","RAB3GAP1"
"57","SGTB"
"58","SLC25A46"
"59","SLC26A2"
"60","SLC30A5"
"61","SLC38A9"
"62","SMAD5"
"63","SMIM15"
"64","SNX2"
"65","SRA1"
"66","SRFBP1"
"67","SSB"
"68","STK32A"
"69","SUB1"
"70","TAF7"
"71","TCERG1"
"72","TMEM161B"
"73","TMEM167A"
"74","TNPO1"
"75","TRIM23"
"76","TTC37"
"77","UBE2D2"
"78","UTP15"
"79","VCAN"
"80","VPS13D"
"81","WDR36"
"82","WDR70"
"83","ZC3H15"
"84","ZMAT2"
