"","c1_HuAgeGBsplitRnaseq_51....TAPbyQNP__"
"1","ACAD9"
"2","AKAP7"
"3","ARL10"
"4","ARMC8"
"5","ASTE1"
"6","ATP2C1"
"7","ATR"
"8","CEP70"
"9","CLK1"
"10","DOCK7"
"11","FAF2"
"12","FAM193B"
"13","HIPK2"
"14","HLTF"
"15","HNRNPA3"
"16","HPS3"
"17","IFT122"
"18","KIAA1191"
"19","LMNB1"
"20","MAP4K4"
"21","MBD4"
"22","NSD1"
"23","ORMDL1"
"24","PRR36"
"25","PRR7"
"26","RNF44"
"27","SF3B1"
"28","SFXN1"
"29","SLC25A36"
"30","SRSF7"
"31","TMCC1"
"32","TSPAN17"
"33","U2SURP"
"34","UIMC1"
"35","XRN1"
"36","YIPF5"
"37","ZBTB38"
"38","ZEB2"
