"","c1_HuAgeGBsplitRnaseq_757....PGBCbyQGBC__"
"1","AC138207.2"
"2","ATXN10"
"3","C22orf46"
"4","CENPM"
"5","COX6A1P2"
"6","CRELD2"
"7","CYB5R3"
"8","DLK2"
"9","GTSE1"
"10","IGLV1-51"
"11","KIAA0930"
"12","L3MBTL2"
"13","LMF2"
"14","MGLL"
"15","MLC1"
"16","NCAPH2"
"17","NDUFA6"
"18","NR1D2"
"19","NUP50"
"20","PANX2"
"21","PHF5A"
"22","PMM1"
"23","POLDIP3"
"24","POLR2F"
"25","POLR3H"
"26","PRR34"
"27","RBX1"
"28","RTL6"
"29","SCO2"
"30","SDF2L1"
"31","SMDT1"
"32","SREBF2"
"33","ST13"
"34","XRCC6"
