"","c1_HuAgeGBsplitRnaseq_62....PGBCbyQGBC__"
"1","ABHD10"
"2","AC090099.1"
"3","AC092910.3"
"4","AC092919.1"
"5","AC092919.2"
"6","AC107027.3"
"7","ACTL6A"
"8","AL353726.1"
"9","ANAPC13"
"10","ANKRD13C"
"11","AP2M1"
"12","ARF4"
"13","ARHGAP31"
"14","ATG3"
"15","ATP1B3"
"16","ATP6V1A"
"17","B4GALT4"
"18","CCDC58"
"19","CDV3"
"20","CEP63"
"21","CEP97"
"22","COPB2"
"23","COPG1"
"24","COX17"
"25","DBR1"
"26","DCUN1D1"
"27","DHX36"
"28","DIRC2"
"29","DNAJC13"
"30","EIF4G1"
"31","EPHB3"
"32","GFM1"
"33","GMPS"
"34","GNB4"
"35","GOLIM4"
"36","GTF2E1"
"37","GTPBP8"
"38","H1FX-AS1"
"39","HMCES"
"40","HSPBAP1"
"41","IL20RB"
"42","IQCB1"
"43","LINC00888"
"44","MAGEF1"
"45","MFSD1"
"46","MRPL3"
"47","MRPL47"
"48","MRPS22"
"49","MSL2"
"50","MYNN"
"51","NAA50"
"52","NCK1"
"53","NDUFB5"
"54","NIT2"
"55","NXPE3"
"56","PCCB"
"57","PIK3R4"
"58","POGLUT1"
"59","PSMD2"
"60","QTRT2"
"61","RAB7A"
"62","RABGGTB"
"63","RABL3"
"64","RNF7"
"65","RPN1"
"66","RUVBL1"
"67","RYK"
"68","SEC22B"
"69","SEC62"
"70","SERP1"
"71","SETP14"
"72","SHOX2"
"73","SLC15A2"
"74","SLC35A5"
"75","SNHG12"
"76","SNX4"
"77","SOX2-OT"
"78","SRPRB"
"79","SRSF3"
"80","SSR3"
"81","TBC1D23"
"82","TFDP2"
"83","TFG"
"84","TIMMDC1"
"85","TMEM41A"
"86","TOMM70"
"87","TOPBP1"
"88","TPRA1"
"89","TRA2B"
"90","TRMT10C"
"91","UMPS"
"92","USF3"
"93","USP13"
"94","ZBTB11"
"95","ZNF639"
