"","c1_HuAgeGBsplitRnaseq_26....NPCbyNSC__"
"1","ALDH1A1"
"2","BCAM"
"3","C17orf98"
"4","C1QTNF2"
"5","CDKN2C"
"6","CIDEA"
"7","CPA2"
"8","CRABP1"
"9","CRABP2"
"10","CRYM"
"11","DEFB136"
"12","ENPP4"
"13","ENPP5"
"14","EXD1"
"15","HSPB1"
"16","KCNN1"
"17","KLF5"
"18","L3MBTL3"
"19","LBP"
"20","LYPD2"
"21","OR5M11"
"22","P4HA2"
"23","PERM1"
"24","PIR"
"25","PLPP3"
"26","PRDM7"
"27","RCAN2"
"28","RERG"
"29","RHOD"
"30","RN7SL73P"
"31","SHROOM3"
"32","SLC25A47"
"33","TBATA"
"34","TGFBR3"
"35","THNSL2"
"36","TMEM212"
"37","TMEM252"
"38","TPBG"
"39","TSPAN2"
"40","ZC3HAV1L"
