"","c1_HuAgeGBsplitRnaseq_101....NPCbyNSC__"
"1","ABTB1"
"2","ADRA2C"
"3","ANKRD13D"
"4","ATG2A"
"5","C11orf68"
"6","CCDC84"
"7","CHKA"
"8","DTX4"
"9","EFEMP1"
"10","FADS3"
"11","FAM168A"
"12","FIBP"
"13","GAL3ST3"
"14","GPR137"
"15","GSTP1"
"16","JMJD6"
"17","KAT5"
"18","KLC2"
"19","KMT5B"
"20","LTBP3"
"21","MAP1LC3A"
"22","MRPL48"
"23","NEIL1"
"24","NUDT22"
"25","NXF1"
"26","OTUB1"
"27","PNCK"
"28","POLR2G"
"29","PPP2R5B"
"30","PRDX5"
"31","RAB6A"
"32","RBM4"
"33","ROM1"
"34","RPS6KB2"
"35","RTN3"
"36","SERPINH1"
"37","SPCS2"
"38","TM7SF2"
"39","TMEM216"
"40","TMEM258"
"41","YIF1A"
"42","ZNHIT2"
