"","c1_HuAgeGBsplitRnaseq_189....TAPbyQNP__"
"1","AKAP11"
"2","ALG11"
"3","AMER2"
"4","B3GLCT"
"5","BORA"
"6","CAB39L"
"7","CENPJ"
"8","COG3"
"9","COG6"
"10","CSPG4"
"11","DIAPH3"
"12","DNAJC15"
"13","DNASE1L1"
"14","EEF1AKMT1"
"15","ELF1"
"16","ESD"
"17","EXOSC8"
"18","FAM49A"
"19","FNDC3A"
"20","GTF2F2"
"21","HSPH1"
"22","IL17D"
"23","INTS6"
"24","KPNA3"
"25","MICU2"
"26","N4BP2L1"
"27","N4BP2L2"
"28","NHLRC3"
"29","NUFIP1"
"30","NUP58"
"31","PAN3"
"32","PDS5B"
"33","PIBF1"
"34","PNRC1"
"35","PSPC1"
"36","RB1"
"37","RCBTB1"
"38","RNASEH2B"
"39","SACS"
"40","SPART"
"41","SPRYD7"
"42","STARD13"
"43","SUCLA2"
"44","SUGT1"
"45","SUPT20H"
"46","TDRD3"
"47","TNFRSF19"
"48","UBL3"
"49","USPL1"
"50","VPS36"
"51","WBP4"
"52","XPO4"
"53","ZDHHC20"
"54","ZMYM2"
