"","c1_HuAgeGBsplitRnaseq_681....QNPbyTAP__"
"1","ACTR1A"
"2","ATP5MD"
"3","AVPI1"
"4","BLOC1S2"
"5","BTAF1"
"6","BTRC"
"7","CHUK"
"8","CSGALNACT2"
"9","CUEDC2"
"10","CUTC"
"11","CWF19L1"
"12","DPCD"
"13","ERLIN1"
"14","FBXL15"
"15","FRA10AC1"
"16","GBF1"
"17","GOT1"
"18","HIF1AN"
"19","HPS6"
"20","IDE"
"21","LDB1"
"22","LZTS2"
"23","MINPP1"
"24","MRPL43"
"25","NOC3L"
"26","NOLC1"
"27","NPM3"
"28","NT5C2"
"29","PCGF5"
"30","PCGF6"
"31","PDCD11"
"32","PHYHIPL"
"33","PI4K2A"
"34","PLCE1"
"35","PLEKHA4"
"36","PPRC1"
"37","RPP30"
"38","S100A10"
"39","SFXN3"
"40","SLC25A28"
"41","SLC35G1"
"42","SLF2"
"43","SORBS1"
"44","SUFU"
"45","TM9SF3"
"46","TNKS2"
"47","TRIM8"
"48","TWNK"
"49","WBP1L"
"50","ZFAND4"
"51","ZFYVE27"
"52","ZNF518A"
