"","c1_HuAgeGBsplitRnaseq_82....PGBCbyQGBC__"
"1","AAK1"
"2","AC010969.2"
"3","AC108488.2"
"4","AC114810.1"
"5","ACOX2"
"6","ACP1"
"7","ADAM17"
"8","ADI1"
"9","AL451064.2"
"10","ASAP2"
"11","ASXL2"
"12","C2orf69"
"13","CENPO"
"14","CPSF3"
"15","DNMT3A"
"16","E2F6"
"17","EIPR1"
"18","FAM136A"
"19","FAM98A"
"20","FBXO11"
"21","GLB1L"
"22","GPN1"
"23","HADHA"
"24","IAH1"
"25","ITGB1BP1"
"26","ITGB3BP"
"27","KIDINS220"
"28","LAPTM4A"
"29","LASP1"
"30","LCLAT1"
"31","LDAH"
"32","LINC01556"
"33","LPIN1"
"34","MAP4K3"
"35","NOL10"
"36","NRBP1"
"37","PDIA6"
"38","PEX13"
"39","PPM1G"
"40","PPP4R3B"
"41","PQLC3"
"42","PREB"
"43","PTCD3"
"44","PUM2"
"45","RAB10"
"46","RASA2"
"47","RNASEH1"
"48","RNASEH1-AS1"
"49","ROCK2"
"50","SAMD1"
"51","SELENOI"
"52","SFXN2"
"53","SH3YL1"
"54","SLC5A6"
"55","SNX17"
"56","SNX7"
"57","SPAST"
"58","TAF1B"
"59","TMEM18"
"60","TMEM214"
"61","TRMT61B"
"62","UBXN2A"
"63","YIPF4"
"64","YWHAQ"
