"","c1_HuAgeGBsplitRnaseq_294....QGBObyPGBO__"
"1","AC004847.1"
"2","AC024257.2"
"3","AL136126.1"
"4","AL645929.1"
"5","APOL4"
"6","BST2"
"7","BTN3A2"
"8","C1orf61"
"9","CCDC194"
"10","CMPK2"
"11","DAP3P2"
"12","FAM111A-DT"
"13","HLA-C"
"14","LAG3"
"15","LGALS3BP"
"16","LY6E"
"17","MCOLN2"
"18","MYD88"
"19","ODF3B"
"20","PLA2G12AP1"
"21","PML"
"22","PPP1R2P1"
"23","PSMB8"
"24","PSMB9"
"25","PSME1"
"26","PSME2"
"27","PTGES3P1"
"28","RARRES3"
"29","SLC16A11"
"30","SLC19A3"
"31","TRGV9"
"32","TRIM69"
