"","c1_HuAgeGBsplitRnaseq_681....PSVZbyQSVZ__"
"1","ALDH18A1"
"2","ARL3"
"3","CCSER2"
"4","CSGALNACT2"
"5","CWF19L1"
"6","ERLIN1"
"7","EXOC6"
"8","EXOSC1"
"9","FAM13C"
"10","FRA10AC1"
"11","FRAT1"
"12","FRAT2"
"13","GOT1"
"14","HELLS"
"15","HIF1AN"
"16","LDB1"
"17","LZTS2"
"18","MMS19"
"19","NOC3L"
"20","NOLC1"
"21","NPM3"
"22","PARG"
"23","PCGF6"
"24","PDCD11"
"25","PI4K2A"
"26","PLEKHA4"
"27","POLR3A"
"28","PPRC1"
"29","RCC1"
"30","RCC2"
"31","RPP30"
"32","SLC35G1"
"33","SPSB4"
"34","SUFU"
"35","UBL5"
"36","ZDHHC16"
"37","ZNF518A"
