"","c1_HuAgeGBsplitRnaseq_10....QGBCbyPGBC__"
"1","AC002064.1"
"2","AC004080.1"
"3","AC004080.2"
"4","AC004817.3"
"5","AC004836.1"
"6","AC007688.1"
"7","AC008147.4"
"8","AC008737.2"
"9","AC009159.1"
"10","AC010327.1"
"11","AC010719.1"
"12","AC016722.3"
"13","AC020917.3"
"14","AC024940.3"
"15","AC034105.2"
"16","AC061992.1"
"17","AC063952.2"
"18","AC073073.1"
"19","AC074338.1"
"20","AC078909.2"
"21","AC087289.5"
"22","AC092437.1"
"23","AC096920.1"
"24","AC105118.1"
"25","AC106897.1"
"26","AC110285.5"
"27","AC118658.1"
"28","AC126283.2"
"29","AC127496.2"
"30","AC127496.5"
"31","AC128709.3"
"32","AC231981.1"
"33","ACTG1P15"
"34","AGBL2"
"35","AHRR"
"36","AL158801.2"
"37","AL162386.1"
"38","AL162574.2"
"39","AL356488.1"
"40","AL391095.3"
"41","AL512430.3"
"42","AL513283.1"
"43","AL732292.2"
"44","AL807752.1"
"45","ALDH3A2"
"46","AP002364.1"
"47","AP003171.1"
"48","AP003717.3"
"49","ARHGAP20"
"50","ARID3A"
"51","ASNSP3"
"52","ASTN1"
"53","ATP2A1"
"54","ATXN7L1"
"55","BRINP2"
"56","C22orf15"
"57","C2orf16"
"58","C7orf57"
"59","C9orf24"
"60","CACNA1H"
"61","CCDC154"
"62","CCDC17"
"63","CCND2-AS1"
"64","CCNO"
"65","CDHR3"
"66","CFAP45"
"67","CFAP53"
"68","CFAP58-AS1"
"69","CFAP69"
"70","CFAP70"
"71","CFAP73"
"72","CNTD1"
"73","CYP2W1"
"74","DNAAF1"
"75","DUSP15"
"76","EPN3"
"77","ERBB3"
"78","ETHE1"
"79","FAM213A"
"80","FITM1"
"81","FP236315.1"
"82","GALNT15"
"83","GAS2L1P2"
"84","GCK"
"85","GNG7"
"86","GPD1"
"87","GPR155"
"88","GPR35"
"89","GRIA2"
"90","GSTM5"
"91","GTF2IRD1P1"
"92","HOTAIRM1"
"93","HOTTIP"
"94","HOXA1"
"95","HOXA11"
"96","HOXA11-AS"
"97","HOXA13"
"98","HOXA2"
"99","IGFALS"
"100","IQCN"
"101","ITGA2B"
"102","ITPR1-AS1"
"103","KCNQ4"
"104","KIF3C"
"105","LCMT1-AS1"
"106","LINC00899"
"107","LINC01732"
"108","LINC02265"
"109","LRRC46"
"110","LY96"
"111","MAFA"
"112","MAFA-AS1"
"113","MIR7-3HG"
"114","MIRLET7BHG"
"115","MSI1"
"116","MYOG"
"117","NDUFB4P8"
"118","NTN3"
"119","OBSCN"
"120","OBSCN-AS1"
"121","PLIN4"
"122","PLXNA4"
"123","PPIAP32"
"124","PPP1R32"
"125","PRR29-AS1"
"126","PTGER1"
"127","RANP4"
"128","RBM24"
"129","REM2"
"130","RN7SL363P"
"131","RNF144A"
"132","RNU2-62P"
"133","RNU6-2"
"134","RNU6-598P"
"135","ROBO3"
"136","ROCR"
"137","RPL32P3"
"138","RPS19P1"
"139","RPS27P25"
"140","RSL24D1P6"
"141","RUNDC3A-AS1"
"142","SHC2"
"143","SKAP2"
"144","SLC25A27"
"145","THA1P"
"146","TMEM256-PLSCR3"
"147","TMPRSS6"
"148","TNK1"
"149","TNNC1"
"150","TNNI3"
"151","TRAJ39"
"152","TRAPPC12"
"153","UPP1"
"154","YJEFN3"
"155","ZBTB42"
