"","c1_HuAgeGBsplitRnaseq_124....PGBCbyQGBC__"
"1","AC000403.1"
"2","AC004257.1"
"3","AC006026.2"
"4","AC009053.2"
"5","AC009110.1"
"6","AC010468.1"
"7","AC027559.1"
"8","AC073316.3"
"9","AC083843.3"
"10","AC083843.4"
"11","AC112255.1"
"12","ADIG"
"13","AL138820.1"
"14","AL589826.1"
"15","AL590609.2"
"16","AL603839.2"
"17","AL603839.3"
"18","AL731563.3"
"19","ALDH1L1"
"20","ANKRD34B"
"21","ANXA2"
"22","ANXA2P2"
"23","AP000345.2"
"24","AP000346.4"
"25","ARPC3"
"26","ATAD5"
"27","ATP5MC3"
"28","ATP5MFP5"
"29","CAVIN1"
"30","CLEC19A"
"31","CLEC2B"
"32","CRLF3"
"33","DARS"
"34","DYNC1I2"
"35","DZIP1L"
"36","ELFN1"
"37","ENTPD8"
"38","EXO5"
"39","FAM110A"
"40","FAM213B"
"41","FAM49B"
"42","GCNT2"
"43","GMDS-AS1"
"44","GMEB1"
"45","HMGCL"
"46","HS3ST3A1"
"47","HS3ST3B1"
"48","HSPD1P4"
"49","ID1"
"50","ID2"
"51","ID3"
"52","KCTD12"
"53","KHDRBS1"
"54","KIAA1324"
"55","LINC00339"
"56","LINC01206"
"57","LIPH"
"58","MACO1"
"59","MGARP"
"60","MIR3180-5"
"61","MRPS18CP6"
"62","NLGN1"
"63","NOS2P3"
"64","NRADDP"
"65","PLXNA2"
"66","PPIAP16"
"67","PPIAP65"
"68","RAB33B"
"69","RNU1-138P"
"70","RPL21P43"
"71","SDCBPP3"
"72","SLITRK3"
"73","SPATA18"
"74","SPDYE16"
"75","SPDYE6"
"76","TNFRSF11B"
"77","TSPYL5"
"78","UBXN4"
"79","XBP1"
"80","YBX1P4"
"81","YTHDF2"
"82","ZFP69"
"83","ZNF594"
"84","ZNF684"
