"","c1_HuAgeGBsplitRnaseq_163....QGBCbyPGBC__"
"1","AC005476.2"
"2","AC010531.1"
"3","AC026585.1"
"4","AC068389.1"
"5","AC072052.1"
"6","AL008718.2"
"7","AL049796.1"
"8","AL109936.2"
"9","AL121768.1"
"10","AL158063.1"
"11","AL606491.1"
"12","ANK1"
"13","ARHGAP4"
"14","ASAP3"
"15","BAIAP3"
"16","BTG1"
"17","CCDC88B"
"18","DUSP5P1"
"19","ELL"
"20","FAM131C"
"21","GMIP"
"22","GPAT3"
"23","GPRIN3"
"24","INHBB"
"25","ITPR1"
"26","KHNYN"
"27","LAMC2"
"28","LRCH1"
"29","MFSD4A"
"30","MMP24OS"
"31","MTND4P9"
"32","P2RX4"
"33","PPARGC1B"
"34","PRKCB"
"35","PTK2B"
"36","RF00432"
"37","RNA5SP18"
"38","RPS4XP22"
"39","RTN4R"
"40","SCN1B"
"41","SPTB"
"42","SYTL2"
"43","TMC6"
"44","TMEM51"
"45","TNRC6C-AS1"
"46","TRMT9B"
"47","VWA7"
