"","c1_HuAgeGBsplitRnaseq_24....PSVZbyQSVZ__"
"1","ADAMTS16"
"2","ADAMTS18"
"3","AMPH"
"4","C1orf216"
"5","C9orf64"
"6","CCDC177"
"7","CCNJL"
"8","CDH22"
"9","CDR2L"
"10","CNOT11"
"11","COL13A1"
"12","DLGAP3"
"13","EOMES"
"14","FAM72B"
"15","HOMER3"
"16","KDF1"
"17","KIF26A"
"18","MEIS1"
"19","MPP3"
"20","MYO9B"
"21","NIF3L1"
"22","NKRF"
"23","ORC2"
"24","OTX2"
"25","PARVA"
"26","PDP1"
"27","PHTF1"
"28","PIP5K1B"
"29","PKIB"
"30","PLEK2"
"31","PTPRR"
"32","RAPGEF4"
"33","RAPGEF6"
"34","RND1"
"35","RPS6KA6"
"36","SEL1L3"
"37","SFRP1"
"38","SLC13A4"
"39","SRGAP2C"
"40","SYT9"
"41","TP53I11"
"42","TPM4"
"43","TRIM72"
"44","UBASH3B"
"45","UBE3A"
"46","ZFYVE28"
"47","ZIC1"
"48","ZNF334"
"49","ZNF436"
