"","c1_HuAgeGBsplitRnaseq_49....QSVZbyPSVZ__"
"1","AMER1"
"2","ARHGEF9"
"3","BEX2"
"4","BHLHB9"
"5","C1GALT1C1"
"6","C2orf42"
"7","CADM3"
"8","CERS4"
"9","CHM"
"10","FAM199X"
"11","FAM3A"
"12","FBXL12"
"13","GPRASP2"
"14","HCFC1"
"15","HPRT1"
"16","IKBKG"
"17","IRAK1"
"18","LAS1L"
"19","LRRC58"
"20","MAGED2"
"21","MCTS1"
"22","MMGT1"
"23","MOSPD1"
"24","MTM1"
"25","MTMR1"
"26","NAP1L3"
"27","PARD3B"
"28","PCGF1"
"29","PJA1"
"30","PRKCSH"
"31","PROS1"
"32","RAB39B"
"33","RNF113A"
"34","SLC25A53"
"35","SLC27A1"
"36","SLC4A4"
"37","SLC9A6"
"38","TAF9B"
"39","TAZ"
"40","TCEAL6"
"41","TMEM164"
"42","UBE2A"
"43","VMA21"
"44","YIPF1"
"45","YIPF6"
"46","ZBTB33"
"47","ZMYM3"
"48","ZNF121"
"49","ZNF142"
"50","ZNF317"
"51","ZNF426"
"52","ZNF451"
"53","ZNF77"
