"","c1_HuAgeGBsplitRnaseq_85....QSVZbyPSVZ__"
"1","ABCB1"
"2","ACSL1"
"3","ACSL5"
"4","ACVRL1"
"5","AFAP1L1"
"6","AFAP1L2"
"7","ALPL"
"8","APLN"
"9","APOD"
"10","APOLD1"
"11","ARHGAP18"
"12","ARRDC2"
"13","CA2"
"14","CA4"
"15","CARD10"
"16","CDH5"
"17","CLEC14A"
"18","COBLL1"
"19","COL1A2"
"20","COL4A1"
"21","CST3"
"22","DEGS2"
"23","DOCK9"
"24","ELOVL7"
"25","ENG"
"26","EPAS1"
"27","ERO1B"
"28","ESAM"
"29","FAIM2"
"30","FLT1"
"31","FOXF2"
"32","GALNT18"
"33","HEG1"
"34","HIGD1B"
"35","HLX"
"36","HSPA12B"
"37","HTRA3"
"38","IGFBP7"
"39","IL4R"
"40","INSR"
"41","ITGB5"
"42","ITIH5"
"43","ITM2A"
"44","JDP2"
"45","KDELR3"
"46","KLF9"
"47","LAMA4"
"48","LAMC1"
"49","MARVELD2"
"50","MFSD2A"
"51","MT2A"
"52","NID1"
"53","OLFML2A"
"54","OSTF1"
"55","PDK4"
"56","PIK3R1"
"57","PLVAP"
"58","PTPRB"
"59","RAB21"
"60","RASGRP3"
"61","RASIP1"
"62","RGS5"
"63","ROBO4"
"64","SELENBP1"
"65","SESN1"
"66","SGPP2"
"67","SLC16A1"
"68","SLC30A1"
"69","SLC38A5"
"70","SLC39A10"
"71","SLC3A2"
"72","SLCO4A1"
"73","SMAP2"
"74","SOWAHA"
"75","SOX18"
"76","STARD8"
"77","SYT1"
"78","TSC22D3"
"79","ZBTB16"
