"","c1_HuAgeGBsplitRnaseq_39....QNPbyTAP__"
"1","ABR"
"2","AFF4"
"3","C5orf15"
"4","CANX"
"5","CAST"
"6","CDC42SE2"
"7","CDKN2AIPNL"
"8","CPEB4"
"9","CREBRF"
"10","CTNNA1"
"11","CYFIP2"
"12","F2R"
"13","FBXW11"
"14","G3BP1"
"15","GEMIN5"
"16","HNRNPA0"
"17","HSPA4"
"18","HSPB8"
"19","JADE2"
"20","LARP1"
"21","LYRM7"
"22","LYSMD3"
"23","MATR3"
"24","MOSMO"
"25","MRPL22"
"26","NRXN2"
"27","NUDCD2"
"28","PANK3"
"29","PCDHB15"
"30","PCDHB2"
"31","PURA"
"32","PWWP2A"
"33","RARS"
"34","RBM22"
"35","SAR1B"
"36","SEC24A"
"37","SHMT1"
"38","SKP1"
"39","SLU7"
"40","SPDL1"
"41","SQSTM1"
"42","TTC1"
"43","UBLCP1"
"44","UBTF"
"45","VDAC1"
