"","c1_HuAgeGBsplitRnaseq_16....QGBCbyPGBC__"
"1","AC008785.1"
"2","AC010422.2"
"3","AC018521.7"
"4","AC018845.3"
"5","AC061999.1"
"6","AC069218.2"
"7","AC073316.2"
"8","AC092724.1"
"9","AC093734.1"
"10","AC099066.3"
"11","AC102953.1"
"12","AC104653.2"
"13","AC106872.2"
"14","AC109454.1"
"15","AC118757.1"
"16","AC136475.6"
"17","AL008638.5"
"18","AL024474.1"
"19","AL353151.1"
"20","AL356859.1"
"21","AL512274.1"
"22","AL590666.1"
"23","AP003122.2"
"24","AP004371.1"
"25","ATAD3C"
"26","C6orf15"
"27","CLDN4"
"28","CR382287.2"
"29","IFITM5"
"30","KLF1"
"31","LDHBP1"
"32","MIR1273E"
"33","MIR1299"
"34","MIR1303"
"35","MRPS36P5"
"36","OLA1P2"
"37","REG1A"
"38","RN7SKP129"
"39","RN7SL525P"
"40","RN7SL569P"
"41","RN7SL667P"
"42","RN7SL790P"
"43","RNU4-84P"
"44","RNU6-1315P"
"45","RNU6-716P"
"46","RNU7-179P"
"47","RNU7-97P"
"48","RPL12P32"
"49","RPL21P11"
"50","RPL26P6"
"51","RPL7P8"
"52","RPS26P56"
"53","Z99916.3"
