"","c1_HuAgeGBsplitRnaseq_180....PGBObyQGBO__"
"1","AC002069.1"
"2","AC006026.1"
"3","AC073136.2"
"4","AC087283.1"
"5","AC100827.5"
"6","AC122688.1"
"7","AC133963.1"
"8","AL021937.1"
"9","AL022334.1"
"10","AL049732.1"
"11","AL079342.3"
"12","AL117344.1"
"13","AP005431.1"
"14","APCS"
"15","BDH2P1"
"16","HIST1H1A"
"17","HIST3H3"
"18","MIR3193"
"19","NIFKP9"
"20","OVOL3"
"21","PEBP1P2"
"22","RNU6-925P"
"23","RPS20P10"
"24","SBSN"
"25","SEM1P1"
"26","TRBV7-3"
