"","c1_HuAgeGBsplitRnaseq_17....NPCbyNSC__"
"1","ABTB1"
"2","ADRA2C"
"3","ANKRD13D"
"4","ANPEP"
"5","ATG2A"
"6","C11orf68"
"7","CACHD1"
"8","CCDC84"
"9","CDC42EP3"
"10","CEACAM21"
"11","CHKA"
"12","CR1"
"13","CXCL6"
"14","CXCR2"
"15","DGAT2"
"16","DTX4"
"17","EFEMP1"
"18","FADS3"
"19","FAM168A"
"20","FAM20A"
"21","FIBP"
"22","GAL3ST3"
"23","GPR137"
"24","GSTP1"
"25","JMJD6"
"26","KAT5"
"27","KLC2"
"28","KMT5B"
"29","LTBP3"
"30","LUZP2"
"31","MAP1LC3A"
"32","MRPL48"
"33","MXD1"
"34","NAAA"
"35","NEIL1"
"36","NUDT22"
"37","NXF1"
"38","OTUB1"
"39","PGF"
"40","PLOD2"
"41","PNCK"
"42","POLR2G"
"43","PPBP"
"44","PPP1R14C"
"45","PPP2R5B"
"46","PRDX5"
"47","RAB6A"
"48","RBM4"
"49","ROM1"
"50","RPS6KB2"
"51","RTN3"
"52","SERPINH1"
"53","SLC22A18"
"54","SLC25A19"
"55","SPCS2"
"56","STAR"
"57","TM7SF2"
"58","TMEM216"
"59","TMEM258"
"60","TNFAIP2"
"61","YIF1A"
"62","ZNHIT2"
