"","c1_HuAgeGBsplitRnaseq_49....PSVZbyQSVZ__"
"1","ABCB7"
"2","ATRX"
"3","BEX2"
"4","BEX4"
"5","BRWD3"
"6","CETN2"
"7","CSTF2"
"8","CUL4B"
"9","CXorf56"
"10","DKC1"
"11","DNMT1"
"12","FAM117B"
"13","FAM120C"
"14","FAM50A"
"15","FGD1"
"16","FMR1"
"17","FUNDC2"
"18","HMGN5"
"19","HNRNPH2"
"20","HTATSF1"
"21","ILF3"
"22","KRI1"
"23","MORF4L2"
"24","MTCP1"
"25","NKAP"
"26","NONO"
"27","NSG1"
"28","OPHN1"
"29","PHF6"
"30","PLEKHM3"
"31","PSMD10"
"32","RAB1B"
"33","RBM41"
"34","RBMX2"
"35","RLIM"
"36","SLC10A3"
"37","SNX12"
"38","TCEAL8"
"39","THOC2"
"40","THRA"
"41","TIMM8A"
"42","TRMT2B"
"43","TRO"
"44","UBQLN2"
"45","UPF3B"
"46","USP24"
"47","ZNF2"
"48","ZNF266"
