"","c1_HuAgeGBsplitRnaseq_43....TAPbyQNP__"
"1","ACTR5"
"2","ADNP"
"3","AHCY"
"4","AP5S1"
"5","APMAP"
"6","ATP1A2"
"7","B4GALT5"
"8","BTBD3"
"9","C19orf57"
"10","C1orf112"
"11","C20orf194"
"12","C20orf27"
"13","CABLES2"
"14","CBFA2T2"
"15","CDC25B"
"16","CEP250"
"17","CHD6"
"18","CRLS1"
"19","CSE1L"
"20","CSNK2A1"
"21","CSTF1"
"22","CTNNBL1"
"23","CTSA"
"24","DHX35"
"25","DIDO1"
"26","DLGAP4"
"27","DNAJC5"
"28","DPM1"
"29","DSN1"
"30","DYNLRB1"
"31","EBF4"
"32","EIF5B"
"33","ELMO2"
"34","ESF1"
"35","FITM2"
"36","GZF1"
"37","IFT52"
"38","ITCH"
"39","KAT14"
"40","KBTBD3"
"41","KIZ"
"42","MAPRE1"
"43","MCM8"
"44","MKKS"
"45","MTG2"
"46","NAA20"
"47","NADK2"
"48","NANP"
"49","NCOA3"
"50","NCOA5"
"51","NCOA6"
"52","NDUFAF5"
"53","NINL"
"54","NOP56"
"55","NXT1"
"56","OSBPL2"
"57","PANK2"
"58","PCED1A"
"59","PCMTD2"
"60","PCNA"
"61","PHF20"
"62","PIGU"
"63","PRPF6"
"64","PTPRA"
"65","RAE1"
"66","RALGAPB"
"67","RBL1"
"68","RBM38"
"69","RIN2"
"70","RNF114"
"71","RPN2"
"72","RPRD1B"
"73","SASS6"
"74","SCYL3"
"75","SEC23B"
"76","SLC23A2"
"77","SLC9A8"
"78","SNRPB2"
"79","SNX5"
"80","SOGA1"
"81","SPATA2"
"82","SRC"
"83","STAU1"
"84","STK35"
"85","STK4"
"86","STMN3"
"87","SULF2"
"88","TCEA2"
"89","TMEM230"
"90","TMX4"
"91","TP53RK"
"92","TPD52L2"
"93","TRMT6"
"94","TTI1"
"95","TTLL4"
"96","XRN2"
"97","YTHDF1"
"98","YWHAB"
"99","ZFP64"
"100","ZGPAT"
"101","ZHX3"
"102","ZMYND8"
"103","ZNF335"
"104","ZNF337"
"105","ZNF512B"
"106","ZSWIM1"
"107","ZSWIM3"
