"","c1_HuAgeGBsplitRnaseq_1614....PGBCbyQGBC__"
"1","ABCC4"
"2","AL121652.1"
"3","AL121944.1"
"4","AL355338.1"
"5","ARHGEF3"
"6","ARPC5"
"7","CAP1"
"8","COX20"
"9","CXXC4"
"10","DDX6"
"11","DIS3"
"12","DNAJC3"
"13","EIF4G2"
"14","ERI2"
"15","GLS"
"16","GOPC"
"17","GPR180"
"18","IPO5"
"19","KDELC1"
"20","KLF12"
"21","LMO7"
"22","LRRC40"
"23","MCUR1"
"24","MYSM1"
"25","MZT1"
"26","NAB1"
"27","NABP1"
"28","NDFIP2"
"29","NDUFAF4"
"30","NOL7"
"31","PCDH17"
"32","PEF1"
"33","PPIE"
"34","PRPF4B"
"35","PRSS35"
"36","RALY-AS1"
"37","RBM26"
"38","RNY3P8"
"39","RPE"
"40","SELENOT"
"41","SLITRK1"
"42","SNRNP40"
"43","SNX16"
"44","SREK1"
"45","SRSF11"
"46","STK24"
"47","STK24-AS1"
"48","TDP2"
"49","TEX30"
"50","TM9SF2"
"51","TPM3"
"52","TPP2"
"53","TRAM2-AS1"
"54","TSC22D2"
"55","UBAC2"
"56","UGGT2"
"57","ZRANB2"
