"","c1_HuAgeGBsplitRnaseq_29....PGBCbyQGBC__"
"1","ABRAXAS2"
"2","AC007622.1"
"3","AC010186.3"
"4","AC018653.3"
"5","AC019069.1"
"6","AC087623.3"
"7","AC093281.2"
"8","AC098614.1"
"9","AC098614.4"
"10","AC112484.3"
"11","AC138207.3"
"12","ACTR1A"
"13","ADD3"
"14","ADIPOR2"
"15","ADM"
"16","ADO"
"17","AIFM2"
"18","AK4"
"19","AKAP12"
"20","AL031289.1"
"21","AL135925.1"
"22","AL138762.1"
"23","AL158212.3"
"24","AL353719.1"
"25","AL365181.2"
"26","AL390728.4"
"27","AL390728.6"
"28","ALDH18A1"
"29","ANGPTL4"
"30","ANXA7"
"31","AP3M1"
"32","ARL3"
"33","ARSJ"
"34","ASCC1"
"35","ATP5MD"
"36","AVPI1"
"37","B3GALT4"
"38","BAG3"
"39","BBIP1"
"40","BCAN"
"41","BCCIP"
"42","BNIP3"
"43","BNIP3L"
"44","BST1"
"45","BUB3"
"46","C10orf76"
"47","C10orf88"
"48","C12orf4"
"49","C12orf57"
"50","C1RL-AS1"
"51","CA9"
"52","CASP7"
"53","CCAR1"
"54","CCDC6"
"55","CD1D"
"56","CD2AP"
"57","CDCA3"
"58","CHCHD1"
"59","CHST15"
"60","CHUK"
"61","CLEC2D"
"62","CLUHP3"
"63","CMAS"
"64","CSGALNACT2"
"65","CTBP2"
"66","CTSK"
"67","CUEDC2"
"68","CUTC"
"69","DCLRE1A"
"70","DDX21"
"71","DDX50"
"72","DLG5-AS1"
"73","DNA2"
"74","DNAJB12"
"75","DNAJC9"
"76","DPCD"
"77","DPYSL4"
"78","DYRK4"
"79","ECD"
"80","ECHS1"
"81","EIF3A"
"82","EIF4EBP2"
"83","EMG1"
"84","ENO1"
"85","ERC1"
"86","ERLIN1"
"87","EXOC6"
"88","FAM204A"
"89","FAM35A"
"90","FBXO4"
"91","FOXM1"
"92","FRAT1"
"93","FRAT2"
"94","GAPDH"
"95","GBE1"
"96","GHITM"
"97","GJA1"
"98","GLRX3"
"99","GLUD1"
"100","GOT1"
"101","GPAM"
"102","GSTO1"
"103","HELLS"
"104","HK2"
"105","HPS6"
"106","IDE"
"107","IGFBP2"
"108","IGFBP5"
"109","INPP5F"
"110","IPMK"
"111","KAT6B"
"112","KCNMB3"
"113","KIF1BP"
"114","KIRREL1"
"115","LCOR"
"116","LDHA"
"117","LDHAP4"
"118","LDHB"
"119","LINC00863"
"120","LINC00920"
"121","LRRC20"
"122","LRRC27"
"123","LUCAT1"
"124","M6PR"
"125","MARVELD1"
"126","MCMBP"
"127","MCU"
"128","MICU1"
"129","MINPP1"
"130","MIR210HG"
"131","MRPL43"
"132","MRPL51"
"133","MYOF"
"134","NCAPD2"
"135","NCOA4"
"136","NFKB2"
"137","NHLRC2"
"138","NOC3L"
"139","NOLC1"
"140","NRBF2"
"141","NSMCE4A"
"142","NUDT13"
"143","NUDT9P1"
"144","NUTM2A-AS1"
"145","OAT"
"146","P3H1"
"147","P3H3"
"148","P4HA1"
"149","PAOX"
"150","PARG"
"151","PARP11"
"152","PBLD"
"153","PCGF6"
"154","PDK1"
"155","PFKFB4"
"156","PGAM1"
"157","PGK1"
"158","PGM1"
"159","PI4K2A"
"160","PIEZO1"
"161","PLCE1"
"162","PPA1"
"163","PPP3CB"
"164","PRDX3"
"165","PSTK"
"166","PWWP2B"
"167","PXDN"
"168","RAD51AP1"
"169","RBP5"
"170","RCC1"
"171","RCC2"
"172","RELB"
"173","RNF135"
"174","RPL17P50"
"175","RPL23AP20"
"176","RPP30"
"177","RUFY2"
"178","S100A10"
"179","SAR1A"
"180","SDAD1P1"
"181","SEC23IP"
"182","SFR1"
"183","SFXN4"
"184","SH3D21"
"185","SHOC2"
"186","SIRT1"
"187","SLC16A3"
"188","SLC1A3"
"189","SLC25A16"
"190","SLC25A28"
"191","SLC2A1"
"192","SLC35G1"
"193","SLC6A6"
"194","SLK"
"195","SMC3"
"196","SMNDC1"
"197","SPAG4"
"198","SPATA4"
"199","SPRN"
"200","SPSB4"
"201","SYNPO"
"202","TAF5"
"203","TCTN3"
"204","TEAD4"
"205","TFAM"
"206","TIMM23"
"207","TM9SF3"
"208","TMEM45A"
"209","TP53"
"210","TPI1"
"211","TRIM8"
"212","TRUB1"
"213","TULP3"
"214","UBE2D1"
"215","UROS"
"216","USP5"
"217","VCL"
"218","VEGFA"
"219","VPS26A"
"220","WAPL"
"221","WASHC2A"
"222","WASHC2C"
"223","WBP1L"
"224","WNT5B"
"225","XPNPEP1"
"226","ZDHHC16"
"227","ZDHHC6"
"228","ZFAND4"
