"","c1_HuAgeGBsplitRnaseq_22....PSVZbyQSVZ__"
"1","AATF"
"2","ACBD3"
"3","ACBD4"
"4","ACCS"
"5","ACLY"
"6","ADCY6"
"7","AGO1"
"8","AHCTF1"
"9","AIDA"
"10","ALYREF"
"11","AMOTL1"
"12","AMZ2"
"13","ANGEL2"
"14","ANKRD52"
"15","ANP32E"
"16","AP2B1"
"17","ARHGDIA"
"18","ARID4B"
"19","ARL5A"
"20","ASB8"
"21","ATF1"
"22","ATL3"
"23","ATP5F1B"
"24","BAZ2A"
"25","BCDIN3D"
"26","BECN1"
"27","BLMH"
"28","BPTF"
"29","BRCA1"
"30","BRIP1"
"31","BZW1"
"32","C1orf131"
"33","C1orf21"
"34","C1orf74"
"35","C1QL1"
"36","C3orf70"
"37","CACYBP"
"38","CCDC137"
"39","CCDC181"
"40","CDC27"
"41","CDK5R1"
"42","CEP131"
"43","CEP95"
"44","CHAC1"
"45","CHMP6"
"46","COPRS"
"47","CPD"
"48","CSNK1D"
"49","DCAF7"
"50","DCAKD"
"51","DDIT3"
"52","DDX42"
"53","DDX5"
"54","DDX52"
"55","DGKE"
"56","DHX40"
"57","DNAJC14"
"58","DNAJC7"
"59","DUSP4"
"60","DYNLL2"
"61","EFTUD2"
"62","EIF2D"
"63","EIF4A3"
"64","ENGASE"
"65","EPRS"
"66","EXOC7"
"67","EXOC8"
"68","FBXO28"
"69","FLOT2"
"70","FTSJ3"
"71","GALK1"
"72","GALNT2"
"73","GBP6"
"74","GDPD1"
"75","GGA3"
"76","GGN"
"77","GINS3"
"78","GJC1"
"79","GLI1"
"80","GNPAT"
"81","GPS1"
"82","GXYLT1"
"83","H3F3A"
"84","H3F3B"
"85","HEATR1"
"86","HEATR6"
"87","HGS"
"88","HHAT"
"89","INTS7"
"90","IPO9"
"91","IRF2BP2"
"92","ITGB4"
"93","KANSL1"
"94","KANSL2"
"95","KAT2A"
"96","KLHL11"
"97","KPNA2"
"98","KPNB1"
"99","LARP4"
"100","LBR"
"101","LIG3"
"102","LIMA1"
"103","LIN9"
"104","LPGAT1"
"105","LRRC59"
"106","LSM12"
"107","LYPLAL1"
"108","MAP3K12"
"109","MARS"
"110","MBTD1"
"111","MCRS1"
"112","MED1"
"113","METTL2A"
"114","MFSD11"
"115","MLX"
"116","MOB1A"
"117","MRPL27"
"118","MRPL45"
"119","MRPL55"
"120","MRPS23"
"121","MSL1"
"122","MTMR4"
"123","MTR"
"124","MYT1"
"125","NACA"
"126","NCS1"
"127","NFE2L1"
"128","NMT1"
"129","NOL11"
"130","NPHP1"
"131","NR2F2"
"132","NTPCR"
"133","NUCKS1"
"134","NUP133"
"135","NUP85"
"136","NVL"
"137","PAN2"
"138","PARP1"
"139","PHF12"
"140","PIPOX"
"141","PODXL"
"142","POLDIP2"
"143","POLG2"
"144","POU2F1"
"145","PPHLN1"
"146","PPM1D"
"147","PRPF40B"
"148","PSMC3IP"
"149","PSMD11"
"150","PSMD12"
"151","PSMD3"
"152","PSME3"
"153","R3HDM2"
"154","RAB13"
"155","RAB26"
"156","RABIF"
"157","RARG"
"158","RASAL2"
"159","RBM15"
"160","RBMS2"
"161","RNASEL"
"162","RNF182"
"163","RPAP3"
"164","RPS6KB1"
"165","RRP15"
"166","RSAD1"
"167","SAP30BP"
"168","SARM1"
"169","SCML4"
"170","SENP1"
"171","SHMT2"
"172","SKA2"
"173","SLC25A39"
"174","SLC35F1"
"175","SLC38A10"
"176","SLC38A2"
"177","SMG7"
"178","SNX27"
"179","SP5"
"180","SPATS2"
"181","SRP68"
"182","SRP9"
"183","SRSF1"
"184","STARD3"
"185","STX16"
"186","SUPT6H"
"187","SYNRG"
"188","TAF15"
"189","TAF1A"
"190","TAF5L"
"191","TAOK1"
"192","TBC1D16"
"193","TBCD"
"194","TBL1X"
"195","TEFM"
"196","TEK"
"197","TFB2M"
"198","TGFBR1"
"199","TIMELESS"
"200","TIMM17A"
"201","TLK2"
"202","TMEM101"
"203","TMEM106C"
"204","TMEM206"
"205","TNRC6C"
"206","TPR"
"207","TRIM37"
"208","TTC13"
"209","TTL"
"210","TUBA1A"
"211","TUBD1"
"212","TUBG1"
"213","UBE2O"
"214","UBE2Z"
"215","UCHL5"
"216","UHMK1"
"217","UNK"
"218","URB2"
"219","UTP6"
"220","XPOT"
"221","ZBTB41"
"222","ZNF207"
"223","ZNF496"
"224","ZNF740"
"225","ZNHIT3"
