"","c1_HuAgeGBsplitRnaseq_1513....QSVZbyPSVZ__"
"1","ABCG4"
"2","ADAMTS10"
"3","ALS2"
"4","ANK3"
"5","BARHL2"
"6","BTBD17"
"7","CALB1"
"8","CMTM7"
"9","CPT1A"
"10","GPR83"
"11","GPRC5C"
"12","GPRIN3"
"13","GRAMD1B"
"14","GRM4"
"15","INHBB"
"16","ITPR1"
"17","KCNC1"
"18","LRCH1"
"19","MMP17"
"20","NHSL2"
"21","P2RX4"
"22","PCLO"
"23","PCSK9"
"24","PDLIM2"
"25","POLB"
"26","PPARGC1B"
"27","PRKCZ"
"28","PTK2B"
"29","RASGRF1"
"30","RELN"
"31","SLC36A1"
"32","SOWAHC"
"33","SYT2"
"34","TIAM1"
"35","TMEM237"
"36","TMEM51"
"37","UNC13C"
