"","c1_HuAgeGBsplitRnaseq_46....PGBCbyQGBC__"
"1","AC005498.2"
"2","AC021087.1"
"3","AC022432.1"
"4","AC092070.2"
"5","AC234782.4"
"6","AL118506.1"
"7","BGN"
"8","C2orf66"
"9","CACNG8"
"10","CCDC106"
"11","FIZ1"
"12","HSPBP1"
"13","ISOC2"
"14","LENG1"
"15","LINC01191"
"16","MBOAT7"
"17","NAT14"
"18","POU3F4"
"19","RNU6-307P"
"20","SCAF1"
"21","TSEN34"
"22","U2AF2"
"23","ZIK1"
"24","ZNF135"
"25","ZNF175"
"26","ZNF256"
"27","ZNF28"
"28","ZNF347"
"29","ZNF432"
"30","ZNF530"
"31","ZNF583"
"32","ZNF614"
"33","ZNF665"
"34","ZNF761"
"35","ZNF765"
"36","ZNF784"
"37","ZNF787"
"38","ZNF813"
"39","ZNF835"
"40","ZNF845"
"41","ZSCAN1"
"42","ZSCAN18"
