"","c1_HuAgeGBsplitRnaseq_306....QSVZbyPSVZ__"
"1","ABI2"
"2","ADORA2B"
"3","AKAP9"
"4","ALKBH5"
"5","ANKFY1"
"6","ANKRD12"
"7","BMP2K"
"8","CCDC88A"
"9","COX10"
"10","CRIM1"
"11","DHRS7B"
"12","DHX57"
"13","DMXL2"
"14","DNAH7"
"15","ECI2"
"16","EMC1"
"17","FAM161A"
"18","FAT3"
"19","FLII"
"20","FRYL"
"21","GRIA1"
"22","HEATR5B"
"23","HNMT"
"24","IDH1"
"25","INO80D"
"26","ITGA6"
"27","ITGAV"
"28","ITPR2"
"29","KPNA6"
"30","MACF1"
"31","MCFD2"
"32","MIEF2"
"33","MORN2"
"34","MPRIP"
"35","NBEAL1"
"36","NCOR1"
"37","NDUFAF7"
"38","PIGL"
"39","PIKFYVE"
"40","PRKDC"
"41","PSME4"
"42","PTPN4"
"43","RAB11FIP5"
"44","RHBDD1"
"45","SLC2A9"
"46","SLC7A11"
"47","SMAD3"
"48","SYNE1"
"49","TMEM14A"
"50","TMEM169"
"51","TMEM200C"
"52","TNS1"
"53","TOM1L2"
"54","TTC19"
"55","UBC"
"56","VPS13C"
"57","VPS54"
