"","c1_HuAgeGBsplitRnaseq_188....QGBObyPGBO__"
"1","AC020604.1"
"2","AC073610.1"
"3","AC091152.4"
"4","ACOT7"
"5","AL024507.2"
"6","AL031283.1"
"7","AL109917.1"
"8","AL121652.1"
"9","AL136116.3"
"10","AL137784.3"
"11","AL139274.2"
"12","AL139424.2"
"13","AL139424.3"
"14","AL353626.2"
"15","AL355338.1"
"16","ASCL1"
"17","AURKAIP1"
"18","COMMD6"
"19","COQ3"
"20","COX6A1"
"21","COX7A2"
"22","CUTA"
"23","FAM229B"
"24","FAM43B"
"25","GRIA4"
"26","GTF3C6"
"27","HDDC2"
"28","HMGA1P7"
"29","HMGN3"
"30","IMP4"
"31","KIAA2013"
"32","KPNA5"
"33","MARCKS"
"34","MMP23B"
"35","MRPL20"
"36","MRTO4"
"37","NDUFAF4"
"38","NEU1"
"39","PARK7"
"40","PDCD2"
"41","PGD"
"42","PINK1"
"43","PPIAP77"
"44","PUSL1"
"45","RAP2A"
"46","RNY3P16"
"47","RNY3P8"
"48","RPL22L1"
"49","RPS18P9"
"50","SBK1"
"51","SF3B5"
"52","SLC25A33"
"53","SLC25A43"
"54","SLC35E2"
"55","SMPD2"
"56","SNRNP25"
"57","SOX4"
"58","SRM"
"59","SRSF12"
"60","STK24-AS1"
"61","SUB1P1"
"62","THAP3"
"63","TSR2"
