"","c1_HuAgeGBsplitRnaseq_85....NPCbyNSC__"
"1","ACE2"
"2","ACSL1"
"3","APLN"
"4","APOD"
"5","ARHGEF15"
"6","CA2"
"7","CA4"
"8","CD34"
"9","CHCHD7"
"10","CLDN5"
"11","COL1A1"
"12","COL1A2"
"13","COL3A1"
"14","COL6A1"
"15","CPM"
"16","CST3"
"17","CTF1"
"18","CYP1B1"
"19","DCN"
"20","DEGS2"
"21","EDN3"
"22","ELOVL7"
"23","EPAS1"
"24","ESAM"
"25","EXOC3L1"
"26","FAIM2"
"27","FMOD"
"28","FOXC1"
"29","FOXQ1"
"30","GPR85"
"31","HEG1"
"32","HIGD1B"
"33","HRC"
"34","HRCT1"
"35","HTRA3"
"36","ITIH2"
"37","ITIH5"
"38","ITM2A"
"39","JCAD"
"40","KANK3"
"41","KDELR3"
"42","KLF9"
"43","LAMC1"
"44","LSR"
"45","LUM"
"46","MDM2"
"47","MFSD2A"
"48","MT2A"
"49","NID1"
"50","NKD2"
"51","NODAL"
"52","PDK4"
"53","PLA1A"
"54","QPCT"
"55","RAB21"
"56","RASIP1"
"57","RGS5"
"58","ROBO4"
"59","SLC16A1"
"60","SLC30A1"
"61","SLC35E3"
"62","SLC38A5"
"63","STC1"
"64","STRA6"
"65","TBX3"
"66","TBXA2R"
"67","USP53"
"68","WNT4"
