"","c1_HuAgeGBsplitRnaseq_83....PSVZbyQSVZ__"
"1","ARL17B"
"2","AUTS2"
"3","CDC42EP2"
"4","CDK6"
"5","CDKN1C"
"6","CENPP"
"7","CISD2"
"8","COMMD1"
"9","CSRP2"
"10","DDX1"
"11","ENOX2"
"12","EPHB2"
"13","EPHX4"
"14","FAM133B"
"15","IKZF2"
"16","KITLG"
"17","KLC3"
"18","KRIT1"
"19","MAP7"
"20","MAPK8"
"21","PEX1"
"22","RAD51B"
"23","RBM48"
"24","REEP1"
"25","RNF220"
"26","SLC10A1"
"27","SLC24A2"
"28","SLC39A11"
"29","SLFN13"
"30","SMC6"
"31","SMN2"
"32","TAC4"
"33","TJAP1"
"34","TPD52"
"35","TRIM59"
"36","VARS2"
"37","ZBTB40"
"38","ZNF407"
